Country/Region,Date,all_cases
Algeria,2020-01-22,0
Algeria,2020-01-23,0
Algeria,2020-01-24,0
Algeria,2020-01-25,0
Algeria,2020-01-26,0
Algeria,2020-01-27,0
Algeria,2020-01-28,0
Algeria,2020-01-29,0
Algeria,2020-01-30,0
Algeria,2020-01-31,0
Algeria,2020-02-01,0
Algeria,2020-02-02,0
Algeria,2020-02-03,0
Algeria,2020-02-04,0
Algeria,2020-02-05,0
Algeria,2020-02-06,0
Algeria,2020-02-07,0
Algeria,2020-02-08,0
Algeria,2020-02-09,0
Algeria,2020-02-10,0
Algeria,2020-02-11,0
Algeria,2020-02-12,0
Algeria,2020-02-13,0
Algeria,2020-02-14,0
Algeria,2020-02-15,0
Algeria,2020-02-16,0
Algeria,2020-02-17,0
Algeria,2020-02-18,0
Algeria,2020-02-19,0
Algeria,2020-02-20,0
Algeria,2020-02-21,0
Algeria,2020-02-22,0
Algeria,2020-02-23,0
Algeria,2020-02-24,0
Algeria,2020-02-25,1
Algeria,2020-02-26,1
Algeria,2020-02-27,1
Algeria,2020-02-28,1
Algeria,2020-02-29,1
Algeria,2020-03-01,1
Algeria,2020-03-02,3
Algeria,2020-03-03,5
Algeria,2020-03-04,12
Algeria,2020-03-05,12
Algeria,2020-03-06,17
Algeria,2020-03-07,17
Algeria,2020-03-08,19
Algeria,2020-03-09,20
Algeria,2020-03-10,20
Algeria,2020-03-11,20
Algeria,2020-03-12,24
Algeria,2020-03-13,26
Algeria,2020-03-14,37
Algeria,2020-03-15,48
Algeria,2020-03-16,54
Algeria,2020-03-17,60
Algeria,2020-03-18,74
Algeria,2020-03-19,87
Algeria,2020-03-20,90
Algeria,2020-03-21,139
Algeria,2020-03-22,201
Algeria,2020-03-23,201
