Country/Region,Date,all_cases
Austria,2020-01-22,0
Austria,2020-01-23,0
Austria,2020-01-24,0
Austria,2020-01-25,0
Austria,2020-01-26,0
Austria,2020-01-27,0
Austria,2020-01-28,0
Austria,2020-01-29,0
Austria,2020-01-30,0
Austria,2020-01-31,0
Austria,2020-02-01,0
Austria,2020-02-02,0
Austria,2020-02-03,0
Austria,2020-02-04,0
Austria,2020-02-05,0
Austria,2020-02-06,0
Austria,2020-02-07,0
Austria,2020-02-08,0
Austria,2020-02-09,0
Austria,2020-02-10,0
Austria,2020-02-11,0
Austria,2020-02-12,0
Austria,2020-02-13,0
Austria,2020-02-14,0
Austria,2020-02-15,0
Austria,2020-02-16,0
Austria,2020-02-17,0
Austria,2020-02-18,0
Austria,2020-02-19,0
Austria,2020-02-20,0
Austria,2020-02-21,0
Austria,2020-02-22,0
Austria,2020-02-23,0
Austria,2020-02-24,0
Austria,2020-02-25,2
Austria,2020-02-26,2
Austria,2020-02-27,3
Austria,2020-02-28,3
Austria,2020-02-29,9
Austria,2020-03-01,14
Austria,2020-03-02,18
Austria,2020-03-03,21
Austria,2020-03-04,29
Austria,2020-03-05,41
Austria,2020-03-06,55
Austria,2020-03-07,79
Austria,2020-03-08,104
Austria,2020-03-09,131
Austria,2020-03-10,182
Austria,2020-03-11,246
Austria,2020-03-12,302
Austria,2020-03-13,504
Austria,2020-03-14,655
Austria,2020-03-15,860
Austria,2020-03-16,1018
Austria,2020-03-17,1332
Austria,2020-03-18,1646
Austria,2020-03-19,2013
Austria,2020-03-20,2388
Austria,2020-03-21,2814
Austria,2020-03-22,3244
