Country/Region,Date,all_cases
Belarus,2020-01-22,0
Belarus,2020-01-23,0
Belarus,2020-01-24,0
Belarus,2020-01-25,0
Belarus,2020-01-26,0
Belarus,2020-01-27,0
Belarus,2020-01-28,0
Belarus,2020-01-29,0
Belarus,2020-01-30,0
Belarus,2020-01-31,0
Belarus,2020-02-01,0
Belarus,2020-02-02,0
Belarus,2020-02-03,0
Belarus,2020-02-04,0
Belarus,2020-02-05,0
Belarus,2020-02-06,0
Belarus,2020-02-07,0
Belarus,2020-02-08,0
Belarus,2020-02-09,0
Belarus,2020-02-10,0
Belarus,2020-02-11,0
Belarus,2020-02-12,0
Belarus,2020-02-13,0
Belarus,2020-02-14,0
Belarus,2020-02-15,0
Belarus,2020-02-16,0
Belarus,2020-02-17,0
Belarus,2020-02-18,0
Belarus,2020-02-19,0
Belarus,2020-02-20,0
Belarus,2020-02-21,0
Belarus,2020-02-22,0
Belarus,2020-02-23,0
Belarus,2020-02-24,0
Belarus,2020-02-25,0
Belarus,2020-02-26,0
Belarus,2020-02-27,0
Belarus,2020-02-28,1
Belarus,2020-02-29,1
Belarus,2020-03-01,1
Belarus,2020-03-02,1
Belarus,2020-03-03,1
Belarus,2020-03-04,6
Belarus,2020-03-05,6
Belarus,2020-03-06,6
Belarus,2020-03-07,6
Belarus,2020-03-08,6
Belarus,2020-03-09,6
Belarus,2020-03-10,9
Belarus,2020-03-11,9
Belarus,2020-03-12,12
Belarus,2020-03-13,27
Belarus,2020-03-14,27
Belarus,2020-03-15,27
Belarus,2020-03-16,36
Belarus,2020-03-17,36
Belarus,2020-03-18,51
Belarus,2020-03-19,51
