Country/Region,Date,all_cases
Canada,2020-01-22,0
Canada,2020-01-23,0
Canada,2020-01-24,0
Canada,2020-01-25,0
Canada,2020-01-26,1
Canada,2020-01-27,1
Canada,2020-01-28,2
Canada,2020-01-29,2
Canada,2020-01-30,2
Canada,2020-01-31,4
Canada,2020-02-01,4
Canada,2020-02-02,4
Canada,2020-02-03,4
Canada,2020-02-04,4
Canada,2020-02-05,5
Canada,2020-02-06,5
Canada,2020-02-07,7
Canada,2020-02-08,7
Canada,2020-02-09,7
Canada,2020-02-10,7
Canada,2020-02-11,7
Canada,2020-02-12,7
Canada,2020-02-13,7
Canada,2020-02-14,7
Canada,2020-02-15,7
Canada,2020-02-16,7
Canada,2020-02-17,8
Canada,2020-02-18,8
Canada,2020-02-19,8
Canada,2020-02-20,8
Canada,2020-02-21,9
Canada,2020-02-22,9
Canada,2020-02-23,9
Canada,2020-02-24,10
Canada,2020-02-25,11
Canada,2020-02-26,11
Canada,2020-02-27,13
Canada,2020-02-28,14
Canada,2020-02-29,20
Canada,2020-03-01,24
Canada,2020-03-02,27
Canada,2020-03-03,30
Canada,2020-03-04,33
Canada,2020-03-05,37
Canada,2020-03-06,49
Canada,2020-03-07,54
Canada,2020-03-08,64
Canada,2020-03-09,77
Canada,2020-03-10,79
Canada,2020-03-11,108
Canada,2020-03-12,117
Canada,2020-03-13,193
Canada,2020-03-14,198
Canada,2020-03-15,252
Canada,2020-03-16,415
Canada,2020-03-17,478
Canada,2020-03-18,657
