Country/Region,Date,all_cases
China,2020-01-22,548
China,2020-01-23,643
China,2020-01-24,920
China,2020-01-25,1406
China,2020-01-26,2075
China,2020-01-27,2877
China,2020-01-28,5509
China,2020-01-29,6087
China,2020-01-30,8141
China,2020-01-31,9802
China,2020-02-01,11891
China,2020-02-02,16630
China,2020-02-03,19716
China,2020-02-04,23707
China,2020-02-05,27440
China,2020-02-06,30587
China,2020-02-07,34110
China,2020-02-08,36814
China,2020-02-09,39829
China,2020-02-10,42354
China,2020-02-11,44386
China,2020-02-12,44759
China,2020-02-13,59895
China,2020-02-14,66358
China,2020-02-15,68413
China,2020-02-16,70513
China,2020-02-17,72434
China,2020-02-18,74211
China,2020-02-19,74619
China,2020-02-20,75077
China,2020-02-21,75550
China,2020-02-22,77001
China,2020-02-23,77022
China,2020-02-24,77241
China,2020-02-25,77754
China,2020-02-26,78166
China,2020-02-27,78600
China,2020-02-28,78928
China,2020-02-29,79356
China,2020-03-01,79932
China,2020-03-02,80136
China,2020-03-03,80261
China,2020-03-04,80386
China,2020-03-05,80537
China,2020-03-06,80690
China,2020-03-07,80770
China,2020-03-08,80823
China,2020-03-09,80860
China,2020-03-10,80887
China,2020-03-11,80921
China,2020-03-12,80932
China,2020-03-13,80945
China,2020-03-14,80977
China,2020-03-15,81003
China,2020-03-16,81033
China,2020-03-17,81058
China,2020-03-18,81102
China,2020-03-19,81156
China,2020-03-20,81250
