Country/Region,Date,all_cases
Costa Rica,2020-01-22,0
Costa Rica,2020-01-23,0
Costa Rica,2020-01-24,0
Costa Rica,2020-01-25,0
Costa Rica,2020-01-26,0
Costa Rica,2020-01-27,0
Costa Rica,2020-01-28,0
Costa Rica,2020-01-29,0
Costa Rica,2020-01-30,0
Costa Rica,2020-01-31,0
Costa Rica,2020-02-01,0
Costa Rica,2020-02-02,0
Costa Rica,2020-02-03,0
Costa Rica,2020-02-04,0
Costa Rica,2020-02-05,0
Costa Rica,2020-02-06,0
Costa Rica,2020-02-07,0
Costa Rica,2020-02-08,0
Costa Rica,2020-02-09,0
Costa Rica,2020-02-10,0
Costa Rica,2020-02-11,0
Costa Rica,2020-02-12,0
Costa Rica,2020-02-13,0
Costa Rica,2020-02-14,0
Costa Rica,2020-02-15,0
Costa Rica,2020-02-16,0
Costa Rica,2020-02-17,0
Costa Rica,2020-02-18,0
Costa Rica,2020-02-19,0
Costa Rica,2020-02-20,0
Costa Rica,2020-02-21,0
Costa Rica,2020-02-22,0
Costa Rica,2020-02-23,0
Costa Rica,2020-02-24,0
Costa Rica,2020-02-25,0
Costa Rica,2020-02-26,0
Costa Rica,2020-02-27,0
Costa Rica,2020-02-28,0
Costa Rica,2020-02-29,0
Costa Rica,2020-03-01,0
Costa Rica,2020-03-02,0
Costa Rica,2020-03-03,0
Costa Rica,2020-03-04,0
Costa Rica,2020-03-05,0
Costa Rica,2020-03-06,1
Costa Rica,2020-03-07,1
Costa Rica,2020-03-08,5
Costa Rica,2020-03-09,9
Costa Rica,2020-03-10,9
Costa Rica,2020-03-11,13
Costa Rica,2020-03-12,22
Costa Rica,2020-03-13,23
Costa Rica,2020-03-14,26
Costa Rica,2020-03-15,27
Costa Rica,2020-03-16,35
Costa Rica,2020-03-17,41
Costa Rica,2020-03-18,50
Costa Rica,2020-03-19,69
Costa Rica,2020-03-20,89
Costa Rica,2020-03-21,117
Costa Rica,2020-03-22,134
Costa Rica,2020-03-23,134
