Country/Region,Date,all_cases
Croatia,2020-01-22,0
Croatia,2020-01-23,0
Croatia,2020-01-24,0
Croatia,2020-01-25,0
Croatia,2020-01-26,0
Croatia,2020-01-27,0
Croatia,2020-01-28,0
Croatia,2020-01-29,0
Croatia,2020-01-30,0
Croatia,2020-01-31,0
Croatia,2020-02-01,0
Croatia,2020-02-02,0
Croatia,2020-02-03,0
Croatia,2020-02-04,0
Croatia,2020-02-05,0
Croatia,2020-02-06,0
Croatia,2020-02-07,0
Croatia,2020-02-08,0
Croatia,2020-02-09,0
Croatia,2020-02-10,0
Croatia,2020-02-11,0
Croatia,2020-02-12,0
Croatia,2020-02-13,0
Croatia,2020-02-14,0
Croatia,2020-02-15,0
Croatia,2020-02-16,0
Croatia,2020-02-17,0
Croatia,2020-02-18,0
Croatia,2020-02-19,0
Croatia,2020-02-20,0
Croatia,2020-02-21,0
Croatia,2020-02-22,0
Croatia,2020-02-23,0
Croatia,2020-02-24,0
Croatia,2020-02-25,1
Croatia,2020-02-26,3
Croatia,2020-02-27,3
Croatia,2020-02-28,5
Croatia,2020-02-29,6
Croatia,2020-03-01,7
Croatia,2020-03-02,7
Croatia,2020-03-03,9
Croatia,2020-03-04,10
Croatia,2020-03-05,10
Croatia,2020-03-06,11
Croatia,2020-03-07,12
Croatia,2020-03-08,12
Croatia,2020-03-09,12
Croatia,2020-03-10,14
Croatia,2020-03-11,19
Croatia,2020-03-12,19
Croatia,2020-03-13,32
Croatia,2020-03-14,38
Croatia,2020-03-15,49
Croatia,2020-03-16,57
Croatia,2020-03-17,65
Croatia,2020-03-18,81
Croatia,2020-03-19,105
Croatia,2020-03-20,128
Croatia,2020-03-21,206
