Country/Region,Date,all_cases
Czechia,2020-01-22,0
Czechia,2020-01-23,0
Czechia,2020-01-24,0
Czechia,2020-01-25,0
Czechia,2020-01-26,0
Czechia,2020-01-27,0
Czechia,2020-01-28,0
Czechia,2020-01-29,0
Czechia,2020-01-30,0
Czechia,2020-01-31,0
Czechia,2020-02-01,0
Czechia,2020-02-02,0
Czechia,2020-02-03,0
Czechia,2020-02-04,0
Czechia,2020-02-05,0
Czechia,2020-02-06,0
Czechia,2020-02-07,0
Czechia,2020-02-08,0
Czechia,2020-02-09,0
Czechia,2020-02-10,0
Czechia,2020-02-11,0
Czechia,2020-02-12,0
Czechia,2020-02-13,0
Czechia,2020-02-14,0
Czechia,2020-02-15,0
Czechia,2020-02-16,0
Czechia,2020-02-17,0
Czechia,2020-02-18,0
Czechia,2020-02-19,0
Czechia,2020-02-20,0
Czechia,2020-02-21,0
Czechia,2020-02-22,0
Czechia,2020-02-23,0
Czechia,2020-02-24,0
Czechia,2020-02-25,0
Czechia,2020-02-26,0
Czechia,2020-02-27,0
Czechia,2020-02-28,0
Czechia,2020-02-29,0
Czechia,2020-03-01,3
Czechia,2020-03-02,3
Czechia,2020-03-03,5
Czechia,2020-03-04,8
Czechia,2020-03-05,12
Czechia,2020-03-06,18
Czechia,2020-03-07,19
Czechia,2020-03-08,31
Czechia,2020-03-09,31
Czechia,2020-03-10,41
Czechia,2020-03-11,91
Czechia,2020-03-12,94
Czechia,2020-03-13,141
Czechia,2020-03-14,189
Czechia,2020-03-15,253
Czechia,2020-03-16,298
Czechia,2020-03-17,396
Czechia,2020-03-18,464
Czechia,2020-03-19,694
Czechia,2020-03-20,833
Czechia,2020-03-21,995
Czechia,2020-03-22,1120
