Country/Region,Date,all_cases
Egypt,2020-01-22,0
Egypt,2020-01-23,0
Egypt,2020-01-24,0
Egypt,2020-01-25,0
Egypt,2020-01-26,0
Egypt,2020-01-27,0
Egypt,2020-01-28,0
Egypt,2020-01-29,0
Egypt,2020-01-30,0
Egypt,2020-01-31,0
Egypt,2020-02-01,0
Egypt,2020-02-02,0
Egypt,2020-02-03,0
Egypt,2020-02-04,0
Egypt,2020-02-05,0
Egypt,2020-02-06,0
Egypt,2020-02-07,0
Egypt,2020-02-08,0
Egypt,2020-02-09,0
Egypt,2020-02-10,0
Egypt,2020-02-11,0
Egypt,2020-02-12,0
Egypt,2020-02-13,0
Egypt,2020-02-14,1
Egypt,2020-02-15,1
Egypt,2020-02-16,1
Egypt,2020-02-17,1
Egypt,2020-02-18,1
Egypt,2020-02-19,1
Egypt,2020-02-20,1
Egypt,2020-02-21,1
Egypt,2020-02-22,1
Egypt,2020-02-23,1
Egypt,2020-02-24,1
Egypt,2020-02-25,1
Egypt,2020-02-26,1
Egypt,2020-02-27,1
Egypt,2020-02-28,1
Egypt,2020-02-29,1
Egypt,2020-03-01,2
Egypt,2020-03-02,2
Egypt,2020-03-03,2
Egypt,2020-03-04,2
Egypt,2020-03-05,3
Egypt,2020-03-06,15
Egypt,2020-03-07,15
Egypt,2020-03-08,49
Egypt,2020-03-09,55
Egypt,2020-03-10,59
Egypt,2020-03-11,60
Egypt,2020-03-12,67
Egypt,2020-03-13,80
Egypt,2020-03-14,109
Egypt,2020-03-15,110
Egypt,2020-03-16,150
Egypt,2020-03-17,196
