Country/Region,Date,all_cases
Estonia,2020-01-22,0
Estonia,2020-01-23,0
Estonia,2020-01-24,0
Estonia,2020-01-25,0
Estonia,2020-01-26,0
Estonia,2020-01-27,0
Estonia,2020-01-28,0
Estonia,2020-01-29,0
Estonia,2020-01-30,0
Estonia,2020-01-31,0
Estonia,2020-02-01,0
Estonia,2020-02-02,0
Estonia,2020-02-03,0
Estonia,2020-02-04,0
Estonia,2020-02-05,0
Estonia,2020-02-06,0
Estonia,2020-02-07,0
Estonia,2020-02-08,0
Estonia,2020-02-09,0
Estonia,2020-02-10,0
Estonia,2020-02-11,0
Estonia,2020-02-12,0
Estonia,2020-02-13,0
Estonia,2020-02-14,0
Estonia,2020-02-15,0
Estonia,2020-02-16,0
Estonia,2020-02-17,0
Estonia,2020-02-18,0
Estonia,2020-02-19,0
Estonia,2020-02-20,0
Estonia,2020-02-21,0
Estonia,2020-02-22,0
Estonia,2020-02-23,0
Estonia,2020-02-24,0
Estonia,2020-02-25,0
Estonia,2020-02-26,0
Estonia,2020-02-27,1
Estonia,2020-02-28,1
Estonia,2020-02-29,1
Estonia,2020-03-01,1
Estonia,2020-03-02,1
Estonia,2020-03-03,2
Estonia,2020-03-04,2
Estonia,2020-03-05,3
Estonia,2020-03-06,10
Estonia,2020-03-07,10
Estonia,2020-03-08,10
Estonia,2020-03-09,10
Estonia,2020-03-10,12
Estonia,2020-03-11,16
Estonia,2020-03-12,16
Estonia,2020-03-13,79
Estonia,2020-03-14,115
Estonia,2020-03-15,171
Estonia,2020-03-16,205
Estonia,2020-03-17,225
Estonia,2020-03-18,258
Estonia,2020-03-19,267
Estonia,2020-03-20,283
Estonia,2020-03-21,306
Estonia,2020-03-22,326
Estonia,2020-03-23,326
