Country/Region,Date,all_cases
Hungary,2020-01-22,0
Hungary,2020-01-23,0
Hungary,2020-01-24,0
Hungary,2020-01-25,0
Hungary,2020-01-26,0
Hungary,2020-01-27,0
Hungary,2020-01-28,0
Hungary,2020-01-29,0
Hungary,2020-01-30,0
Hungary,2020-01-31,0
Hungary,2020-02-01,0
Hungary,2020-02-02,0
Hungary,2020-02-03,0
Hungary,2020-02-04,0
Hungary,2020-02-05,0
Hungary,2020-02-06,0
Hungary,2020-02-07,0
Hungary,2020-02-08,0
Hungary,2020-02-09,0
Hungary,2020-02-10,0
Hungary,2020-02-11,0
Hungary,2020-02-12,0
Hungary,2020-02-13,0
Hungary,2020-02-14,0
Hungary,2020-02-15,0
Hungary,2020-02-16,0
Hungary,2020-02-17,0
Hungary,2020-02-18,0
Hungary,2020-02-19,0
Hungary,2020-02-20,0
Hungary,2020-02-21,0
Hungary,2020-02-22,0
Hungary,2020-02-23,0
Hungary,2020-02-24,0
Hungary,2020-02-25,0
Hungary,2020-02-26,0
Hungary,2020-02-27,0
Hungary,2020-02-28,0
Hungary,2020-02-29,0
Hungary,2020-03-01,0
Hungary,2020-03-02,0
Hungary,2020-03-03,0
Hungary,2020-03-04,2
Hungary,2020-03-05,2
Hungary,2020-03-06,2
Hungary,2020-03-07,4
Hungary,2020-03-08,7
Hungary,2020-03-09,9
Hungary,2020-03-10,9
Hungary,2020-03-11,13
Hungary,2020-03-12,13
Hungary,2020-03-13,19
Hungary,2020-03-14,30
Hungary,2020-03-15,32
Hungary,2020-03-16,39
Hungary,2020-03-17,50
Hungary,2020-03-18,58
Hungary,2020-03-19,73
Hungary,2020-03-20,85
Hungary,2020-03-21,103
