Country/Region,Date,all_cases
Ireland,2020-01-22,0
Ireland,2020-01-23,0
Ireland,2020-01-24,0
Ireland,2020-01-25,0
Ireland,2020-01-26,0
Ireland,2020-01-27,0
Ireland,2020-01-28,0
Ireland,2020-01-29,0
Ireland,2020-01-30,0
Ireland,2020-01-31,0
Ireland,2020-02-01,0
Ireland,2020-02-02,0
Ireland,2020-02-03,0
Ireland,2020-02-04,0
Ireland,2020-02-05,0
Ireland,2020-02-06,0
Ireland,2020-02-07,0
Ireland,2020-02-08,0
Ireland,2020-02-09,0
Ireland,2020-02-10,0
Ireland,2020-02-11,0
Ireland,2020-02-12,0
Ireland,2020-02-13,0
Ireland,2020-02-14,0
Ireland,2020-02-15,0
Ireland,2020-02-16,0
Ireland,2020-02-17,0
Ireland,2020-02-18,0
Ireland,2020-02-19,0
Ireland,2020-02-20,0
Ireland,2020-02-21,0
Ireland,2020-02-22,0
Ireland,2020-02-23,0
Ireland,2020-02-24,0
Ireland,2020-02-25,0
Ireland,2020-02-26,0
Ireland,2020-02-27,0
Ireland,2020-02-28,0
Ireland,2020-02-29,1
Ireland,2020-03-01,1
Ireland,2020-03-02,1
Ireland,2020-03-03,2
Ireland,2020-03-04,6
Ireland,2020-03-05,6
Ireland,2020-03-06,18
Ireland,2020-03-07,18
Ireland,2020-03-08,19
Ireland,2020-03-09,21
Ireland,2020-03-10,34
Ireland,2020-03-11,43
Ireland,2020-03-12,43
Ireland,2020-03-13,90
Ireland,2020-03-14,129
Ireland,2020-03-15,129
Ireland,2020-03-16,169
Ireland,2020-03-17,223
Ireland,2020-03-18,292
