Country/Region,Date,all_cases
Israel,2020-01-22,0
Israel,2020-01-23,0
Israel,2020-01-24,0
Israel,2020-01-25,0
Israel,2020-01-26,0
Israel,2020-01-27,0
Israel,2020-01-28,0
Israel,2020-01-29,0
Israel,2020-01-30,0
Israel,2020-01-31,0
Israel,2020-02-01,0
Israel,2020-02-02,0
Israel,2020-02-03,0
Israel,2020-02-04,0
Israel,2020-02-05,0
Israel,2020-02-06,0
Israel,2020-02-07,0
Israel,2020-02-08,0
Israel,2020-02-09,0
Israel,2020-02-10,0
Israel,2020-02-11,0
Israel,2020-02-12,0
Israel,2020-02-13,0
Israel,2020-02-14,0
Israel,2020-02-15,0
Israel,2020-02-16,0
Israel,2020-02-17,0
Israel,2020-02-18,0
Israel,2020-02-19,0
Israel,2020-02-20,0
Israel,2020-02-21,1
Israel,2020-02-22,1
Israel,2020-02-23,1
Israel,2020-02-24,1
Israel,2020-02-25,1
Israel,2020-02-26,2
Israel,2020-02-27,3
Israel,2020-02-28,4
Israel,2020-02-29,7
Israel,2020-03-01,10
Israel,2020-03-02,10
Israel,2020-03-03,12
Israel,2020-03-04,15
Israel,2020-03-05,20
Israel,2020-03-06,37
Israel,2020-03-07,43
Israel,2020-03-08,61
Israel,2020-03-09,61
Israel,2020-03-10,83
Israel,2020-03-11,109
Israel,2020-03-12,131
Israel,2020-03-13,161
Israel,2020-03-14,193
Israel,2020-03-15,251
Israel,2020-03-16,255
Israel,2020-03-17,337
Israel,2020-03-18,433
Israel,2020-03-19,677
Israel,2020-03-20,705
Israel,2020-03-21,883
Israel,2020-03-22,1071
