Country/Region,Date,all_cases
Japan,2020-01-22,2
Japan,2020-01-23,1
Japan,2020-01-24,2
Japan,2020-01-25,2
Japan,2020-01-26,4
Japan,2020-01-27,4
Japan,2020-01-28,7
Japan,2020-01-29,7
Japan,2020-01-30,11
Japan,2020-01-31,15
Japan,2020-02-01,20
Japan,2020-02-02,20
Japan,2020-02-03,20
Japan,2020-02-04,22
Japan,2020-02-05,22
Japan,2020-02-06,45
Japan,2020-02-07,25
Japan,2020-02-08,25
Japan,2020-02-09,26
Japan,2020-02-10,26
Japan,2020-02-11,26
Japan,2020-02-12,28
Japan,2020-02-13,28
Japan,2020-02-14,29
Japan,2020-02-15,43
Japan,2020-02-16,59
Japan,2020-02-17,66
Japan,2020-02-18,74
Japan,2020-02-19,84
Japan,2020-02-20,94
Japan,2020-02-21,105
Japan,2020-02-22,122
Japan,2020-02-23,147
Japan,2020-02-24,159
Japan,2020-02-25,170
Japan,2020-02-26,189
Japan,2020-02-27,214
Japan,2020-02-28,228
Japan,2020-02-29,241
Japan,2020-03-01,256
Japan,2020-03-02,274
Japan,2020-03-03,293
Japan,2020-03-04,331
Japan,2020-03-05,360
Japan,2020-03-06,420
Japan,2020-03-07,461
Japan,2020-03-08,502
Japan,2020-03-09,511
Japan,2020-03-10,581
Japan,2020-03-11,639
Japan,2020-03-12,639
Japan,2020-03-13,701
Japan,2020-03-14,773
Japan,2020-03-15,839
