Country/Region,Date,all_cases
Korea, South,2020-01-22,1
Korea, South,2020-01-23,1
Korea, South,2020-01-24,2
Korea, South,2020-01-25,2
Korea, South,2020-01-26,3
Korea, South,2020-01-27,4
Korea, South,2020-01-28,4
Korea, South,2020-01-29,4
Korea, South,2020-01-30,4
Korea, South,2020-01-31,11
Korea, South,2020-02-01,12
Korea, South,2020-02-02,15
Korea, South,2020-02-03,15
Korea, South,2020-02-04,16
Korea, South,2020-02-05,19
Korea, South,2020-02-06,23
Korea, South,2020-02-07,24
Korea, South,2020-02-08,24
Korea, South,2020-02-09,25
Korea, South,2020-02-10,27
Korea, South,2020-02-11,28
Korea, South,2020-02-12,28
Korea, South,2020-02-13,28
Korea, South,2020-02-14,28
Korea, South,2020-02-15,28
Korea, South,2020-02-16,29
Korea, South,2020-02-17,30
Korea, South,2020-02-18,31
Korea, South,2020-02-19,31
Korea, South,2020-02-20,104
Korea, South,2020-02-21,204
Korea, South,2020-02-22,433
Korea, South,2020-02-23,602
Korea, South,2020-02-24,833
Korea, South,2020-02-25,977
Korea, South,2020-02-26,1261
Korea, South,2020-02-27,1766
Korea, South,2020-02-28,2337
Korea, South,2020-02-29,3150
Korea, South,2020-03-01,3736
Korea, South,2020-03-02,4335
Korea, South,2020-03-03,5186
Korea, South,2020-03-04,5621
Korea, South,2020-03-05,6088
Korea, South,2020-03-06,6593
Korea, South,2020-03-07,7041
Korea, South,2020-03-08,7314
Korea, South,2020-03-09,7478
Korea, South,2020-03-10,7513
Korea, South,2020-03-11,7755
Korea, South,2020-03-12,7869
Korea, South,2020-03-13,7979
Korea, South,2020-03-14,8086
Korea, South,2020-03-15,8162
