Country/Region,Date,all_cases
Lebanon,2020-01-22,0
Lebanon,2020-01-23,0
Lebanon,2020-01-24,0
Lebanon,2020-01-25,0
Lebanon,2020-01-26,0
Lebanon,2020-01-27,0
Lebanon,2020-01-28,0
Lebanon,2020-01-29,0
Lebanon,2020-01-30,0
Lebanon,2020-01-31,0
Lebanon,2020-02-01,0
Lebanon,2020-02-02,0
Lebanon,2020-02-03,0
Lebanon,2020-02-04,0
Lebanon,2020-02-05,0
Lebanon,2020-02-06,0
Lebanon,2020-02-07,0
Lebanon,2020-02-08,0
Lebanon,2020-02-09,0
Lebanon,2020-02-10,0
Lebanon,2020-02-11,0
Lebanon,2020-02-12,0
Lebanon,2020-02-13,0
Lebanon,2020-02-14,0
Lebanon,2020-02-15,0
Lebanon,2020-02-16,0
Lebanon,2020-02-17,0
Lebanon,2020-02-18,0
Lebanon,2020-02-19,0
Lebanon,2020-02-20,0
Lebanon,2020-02-21,1
Lebanon,2020-02-22,1
Lebanon,2020-02-23,1
Lebanon,2020-02-24,1
Lebanon,2020-02-25,1
Lebanon,2020-02-26,2
Lebanon,2020-02-27,2
Lebanon,2020-02-28,2
Lebanon,2020-02-29,4
Lebanon,2020-03-01,10
Lebanon,2020-03-02,13
Lebanon,2020-03-03,13
Lebanon,2020-03-04,13
Lebanon,2020-03-05,16
Lebanon,2020-03-06,22
Lebanon,2020-03-07,22
Lebanon,2020-03-08,32
Lebanon,2020-03-09,32
Lebanon,2020-03-10,41
Lebanon,2020-03-11,61
Lebanon,2020-03-12,61
Lebanon,2020-03-13,77
Lebanon,2020-03-14,93
Lebanon,2020-03-15,110
Lebanon,2020-03-16,99
Lebanon,2020-03-17,120
Lebanon,2020-03-18,133
Lebanon,2020-03-19,157
Lebanon,2020-03-20,163
