Country/Region,Date,all_cases
Luxembourg,2020-01-22,0
Luxembourg,2020-01-23,0
Luxembourg,2020-01-24,0
Luxembourg,2020-01-25,0
Luxembourg,2020-01-26,0
Luxembourg,2020-01-27,0
Luxembourg,2020-01-28,0
Luxembourg,2020-01-29,0
Luxembourg,2020-01-30,0
Luxembourg,2020-01-31,0
Luxembourg,2020-02-01,0
Luxembourg,2020-02-02,0
Luxembourg,2020-02-03,0
Luxembourg,2020-02-04,0
Luxembourg,2020-02-05,0
Luxembourg,2020-02-06,0
Luxembourg,2020-02-07,0
Luxembourg,2020-02-08,0
Luxembourg,2020-02-09,0
Luxembourg,2020-02-10,0
Luxembourg,2020-02-11,0
Luxembourg,2020-02-12,0
Luxembourg,2020-02-13,0
Luxembourg,2020-02-14,0
Luxembourg,2020-02-15,0
Luxembourg,2020-02-16,0
Luxembourg,2020-02-17,0
Luxembourg,2020-02-18,0
Luxembourg,2020-02-19,0
Luxembourg,2020-02-20,0
Luxembourg,2020-02-21,0
Luxembourg,2020-02-22,0
Luxembourg,2020-02-23,0
Luxembourg,2020-02-24,0
Luxembourg,2020-02-25,0
Luxembourg,2020-02-26,0
Luxembourg,2020-02-27,0
Luxembourg,2020-02-28,0
Luxembourg,2020-02-29,1
Luxembourg,2020-03-01,1
Luxembourg,2020-03-02,1
Luxembourg,2020-03-03,1
Luxembourg,2020-03-04,1
Luxembourg,2020-03-05,1
Luxembourg,2020-03-06,2
Luxembourg,2020-03-07,2
Luxembourg,2020-03-08,3
Luxembourg,2020-03-09,3
Luxembourg,2020-03-10,5
Luxembourg,2020-03-11,7
Luxembourg,2020-03-12,19
Luxembourg,2020-03-13,34
Luxembourg,2020-03-14,51
Luxembourg,2020-03-15,59
Luxembourg,2020-03-16,77
Luxembourg,2020-03-17,140
Luxembourg,2020-03-18,203
Luxembourg,2020-03-19,335
Luxembourg,2020-03-20,484
Luxembourg,2020-03-21,670
Luxembourg,2020-03-22,798
