Country/Region,Date,all_cases
Malaysia,2020-01-22,0
Malaysia,2020-01-23,0
Malaysia,2020-01-24,0
Malaysia,2020-01-25,3
Malaysia,2020-01-26,4
Malaysia,2020-01-27,4
Malaysia,2020-01-28,4
Malaysia,2020-01-29,7
Malaysia,2020-01-30,8
Malaysia,2020-01-31,8
Malaysia,2020-02-01,8
Malaysia,2020-02-02,8
Malaysia,2020-02-03,8
Malaysia,2020-02-04,10
Malaysia,2020-02-05,12
Malaysia,2020-02-06,12
Malaysia,2020-02-07,12
Malaysia,2020-02-08,16
Malaysia,2020-02-09,16
Malaysia,2020-02-10,18
Malaysia,2020-02-11,18
Malaysia,2020-02-12,18
Malaysia,2020-02-13,19
Malaysia,2020-02-14,19
Malaysia,2020-02-15,22
Malaysia,2020-02-16,22
Malaysia,2020-02-17,22
Malaysia,2020-02-18,22
Malaysia,2020-02-19,22
Malaysia,2020-02-20,22
Malaysia,2020-02-21,22
Malaysia,2020-02-22,22
Malaysia,2020-02-23,22
Malaysia,2020-02-24,22
Malaysia,2020-02-25,22
Malaysia,2020-02-26,22
Malaysia,2020-02-27,23
Malaysia,2020-02-28,23
Malaysia,2020-02-29,25
Malaysia,2020-03-01,29
Malaysia,2020-03-02,29
Malaysia,2020-03-03,36
Malaysia,2020-03-04,50
Malaysia,2020-03-05,50
Malaysia,2020-03-06,83
Malaysia,2020-03-07,93
Malaysia,2020-03-08,99
Malaysia,2020-03-09,117
Malaysia,2020-03-10,129
Malaysia,2020-03-11,149
Malaysia,2020-03-12,149
Malaysia,2020-03-13,197
Malaysia,2020-03-14,238
Malaysia,2020-03-15,428
Malaysia,2020-03-16,566
Malaysia,2020-03-17,673
