Country/Region,Date,all_cases
Malta,2020-01-22,0
Malta,2020-01-23,0
Malta,2020-01-24,0
Malta,2020-01-25,0
Malta,2020-01-26,0
Malta,2020-01-27,0
Malta,2020-01-28,0
Malta,2020-01-29,0
Malta,2020-01-30,0
Malta,2020-01-31,0
Malta,2020-02-01,0
Malta,2020-02-02,0
Malta,2020-02-03,0
Malta,2020-02-04,0
Malta,2020-02-05,0
Malta,2020-02-06,0
Malta,2020-02-07,0
Malta,2020-02-08,0
Malta,2020-02-09,0
Malta,2020-02-10,0
Malta,2020-02-11,0
Malta,2020-02-12,0
Malta,2020-02-13,0
Malta,2020-02-14,0
Malta,2020-02-15,0
Malta,2020-02-16,0
Malta,2020-02-17,0
Malta,2020-02-18,0
Malta,2020-02-19,0
Malta,2020-02-20,0
Malta,2020-02-21,0
Malta,2020-02-22,0
Malta,2020-02-23,0
Malta,2020-02-24,0
Malta,2020-02-25,0
Malta,2020-02-26,0
Malta,2020-02-27,0
Malta,2020-02-28,0
Malta,2020-02-29,0
Malta,2020-03-01,0
Malta,2020-03-02,0
Malta,2020-03-03,0
Malta,2020-03-04,0
Malta,2020-03-05,0
Malta,2020-03-06,0
Malta,2020-03-07,3
Malta,2020-03-08,3
Malta,2020-03-09,3
Malta,2020-03-10,5
Malta,2020-03-11,6
Malta,2020-03-12,6
Malta,2020-03-13,12
Malta,2020-03-14,18
Malta,2020-03-15,21
Malta,2020-03-16,30
Malta,2020-03-17,38
Malta,2020-03-18,38
Malta,2020-03-19,53
Malta,2020-03-20,64
Malta,2020-03-21,73
Malta,2020-03-22,90
