Country/Region,Date,all_cases
Mexico,2020-01-22,0
Mexico,2020-01-23,0
Mexico,2020-01-24,0
Mexico,2020-01-25,0
Mexico,2020-01-26,0
Mexico,2020-01-27,0
Mexico,2020-01-28,0
Mexico,2020-01-29,0
Mexico,2020-01-30,0
Mexico,2020-01-31,0
Mexico,2020-02-01,0
Mexico,2020-02-02,0
Mexico,2020-02-03,0
Mexico,2020-02-04,0
Mexico,2020-02-05,0
Mexico,2020-02-06,0
Mexico,2020-02-07,0
Mexico,2020-02-08,0
Mexico,2020-02-09,0
Mexico,2020-02-10,0
Mexico,2020-02-11,0
Mexico,2020-02-12,0
Mexico,2020-02-13,0
Mexico,2020-02-14,0
Mexico,2020-02-15,0
Mexico,2020-02-16,0
Mexico,2020-02-17,0
Mexico,2020-02-18,0
Mexico,2020-02-19,0
Mexico,2020-02-20,0
Mexico,2020-02-21,0
Mexico,2020-02-22,0
Mexico,2020-02-23,0
Mexico,2020-02-24,0
Mexico,2020-02-25,0
Mexico,2020-02-26,0
Mexico,2020-02-27,0
Mexico,2020-02-28,1
Mexico,2020-02-29,4
Mexico,2020-03-01,5
Mexico,2020-03-02,5
Mexico,2020-03-03,5
Mexico,2020-03-04,5
Mexico,2020-03-05,5
Mexico,2020-03-06,6
Mexico,2020-03-07,6
Mexico,2020-03-08,7
Mexico,2020-03-09,7
Mexico,2020-03-10,7
Mexico,2020-03-11,8
Mexico,2020-03-12,12
Mexico,2020-03-13,12
Mexico,2020-03-14,26
Mexico,2020-03-15,41
Mexico,2020-03-16,53
Mexico,2020-03-17,82
Mexico,2020-03-18,93
