Country/Region,Date,all_cases
Netherlands,2020-01-22,0
Netherlands,2020-01-23,0
Netherlands,2020-01-24,0
Netherlands,2020-01-25,0
Netherlands,2020-01-26,0
Netherlands,2020-01-27,0
Netherlands,2020-01-28,0
Netherlands,2020-01-29,0
Netherlands,2020-01-30,0
Netherlands,2020-01-31,0
Netherlands,2020-02-01,0
Netherlands,2020-02-02,0
Netherlands,2020-02-03,0
Netherlands,2020-02-04,0
Netherlands,2020-02-05,0
Netherlands,2020-02-06,0
Netherlands,2020-02-07,0
Netherlands,2020-02-08,0
Netherlands,2020-02-09,0
Netherlands,2020-02-10,0
Netherlands,2020-02-11,0
Netherlands,2020-02-12,0
Netherlands,2020-02-13,0
Netherlands,2020-02-14,0
Netherlands,2020-02-15,0
Netherlands,2020-02-16,0
Netherlands,2020-02-17,0
Netherlands,2020-02-18,0
Netherlands,2020-02-19,0
Netherlands,2020-02-20,0
Netherlands,2020-02-21,0
Netherlands,2020-02-22,0
Netherlands,2020-02-23,0
Netherlands,2020-02-24,0
Netherlands,2020-02-25,0
Netherlands,2020-02-26,0
Netherlands,2020-02-27,1
Netherlands,2020-02-28,1
Netherlands,2020-02-29,6
Netherlands,2020-03-01,10
Netherlands,2020-03-02,18
Netherlands,2020-03-03,24
Netherlands,2020-03-04,38
Netherlands,2020-03-05,82
Netherlands,2020-03-06,128
Netherlands,2020-03-07,188
Netherlands,2020-03-08,265
Netherlands,2020-03-09,321
Netherlands,2020-03-10,382
Netherlands,2020-03-11,503
Netherlands,2020-03-12,503
Netherlands,2020-03-13,804
Netherlands,2020-03-14,960
Netherlands,2020-03-15,1136
Netherlands,2020-03-16,1414
Netherlands,2020-03-17,1708
