Country/Region,Date,all_cases
Nigeria,2020-01-22,0
Nigeria,2020-01-23,0
Nigeria,2020-01-24,0
Nigeria,2020-01-25,0
Nigeria,2020-01-26,0
Nigeria,2020-01-27,0
Nigeria,2020-01-28,0
Nigeria,2020-01-29,0
Nigeria,2020-01-30,0
Nigeria,2020-01-31,0
Nigeria,2020-02-01,0
Nigeria,2020-02-02,0
Nigeria,2020-02-03,0
Nigeria,2020-02-04,0
Nigeria,2020-02-05,0
Nigeria,2020-02-06,0
Nigeria,2020-02-07,0
Nigeria,2020-02-08,0
Nigeria,2020-02-09,0
Nigeria,2020-02-10,0
Nigeria,2020-02-11,0
Nigeria,2020-02-12,0
Nigeria,2020-02-13,0
Nigeria,2020-02-14,0
Nigeria,2020-02-15,0
Nigeria,2020-02-16,0
Nigeria,2020-02-17,0
Nigeria,2020-02-18,0
Nigeria,2020-02-19,0
Nigeria,2020-02-20,0
Nigeria,2020-02-21,0
Nigeria,2020-02-22,0
Nigeria,2020-02-23,0
Nigeria,2020-02-24,0
Nigeria,2020-02-25,0
Nigeria,2020-02-26,0
Nigeria,2020-02-27,0
Nigeria,2020-02-28,1
Nigeria,2020-02-29,1
Nigeria,2020-03-01,1
Nigeria,2020-03-02,1
Nigeria,2020-03-03,1
Nigeria,2020-03-04,1
Nigeria,2020-03-05,1
Nigeria,2020-03-06,1
Nigeria,2020-03-07,1
Nigeria,2020-03-08,1
Nigeria,2020-03-09,2
Nigeria,2020-03-10,2
Nigeria,2020-03-11,2
Nigeria,2020-03-12,2
Nigeria,2020-03-13,2
Nigeria,2020-03-14,2
Nigeria,2020-03-15,2
Nigeria,2020-03-16,2
