Country/Region,Date,all_cases
North Macedonia,2020-01-22,0
North Macedonia,2020-01-23,0
North Macedonia,2020-01-24,0
North Macedonia,2020-01-25,0
North Macedonia,2020-01-26,0
North Macedonia,2020-01-27,0
North Macedonia,2020-01-28,0
North Macedonia,2020-01-29,0
North Macedonia,2020-01-30,0
North Macedonia,2020-01-31,0
North Macedonia,2020-02-01,0
North Macedonia,2020-02-02,0
North Macedonia,2020-02-03,0
North Macedonia,2020-02-04,0
North Macedonia,2020-02-05,0
North Macedonia,2020-02-06,0
North Macedonia,2020-02-07,0
North Macedonia,2020-02-08,0
North Macedonia,2020-02-09,0
North Macedonia,2020-02-10,0
North Macedonia,2020-02-11,0
North Macedonia,2020-02-12,0
North Macedonia,2020-02-13,0
North Macedonia,2020-02-14,0
North Macedonia,2020-02-15,0
North Macedonia,2020-02-16,0
North Macedonia,2020-02-17,0
North Macedonia,2020-02-18,0
North Macedonia,2020-02-19,0
North Macedonia,2020-02-20,0
North Macedonia,2020-02-21,0
North Macedonia,2020-02-22,0
North Macedonia,2020-02-23,0
North Macedonia,2020-02-24,0
North Macedonia,2020-02-25,0
North Macedonia,2020-02-26,1
North Macedonia,2020-02-27,1
North Macedonia,2020-02-28,1
North Macedonia,2020-02-29,1
North Macedonia,2020-03-01,1
North Macedonia,2020-03-02,1
North Macedonia,2020-03-03,1
North Macedonia,2020-03-04,1
North Macedonia,2020-03-05,1
North Macedonia,2020-03-06,3
North Macedonia,2020-03-07,3
North Macedonia,2020-03-08,3
North Macedonia,2020-03-09,3
North Macedonia,2020-03-10,7
North Macedonia,2020-03-11,7
North Macedonia,2020-03-12,7
North Macedonia,2020-03-13,14
North Macedonia,2020-03-14,14
North Macedonia,2020-03-15,14
North Macedonia,2020-03-16,18
North Macedonia,2020-03-17,26
North Macedonia,2020-03-18,35
North Macedonia,2020-03-19,48
