Country/Region,Date,all_cases
Pakistan,2020-01-22,0
Pakistan,2020-01-23,0
Pakistan,2020-01-24,0
Pakistan,2020-01-25,0
Pakistan,2020-01-26,0
Pakistan,2020-01-27,0
Pakistan,2020-01-28,0
Pakistan,2020-01-29,0
Pakistan,2020-01-30,0
Pakistan,2020-01-31,0
Pakistan,2020-02-01,0
Pakistan,2020-02-02,0
Pakistan,2020-02-03,0
Pakistan,2020-02-04,0
Pakistan,2020-02-05,0
Pakistan,2020-02-06,0
Pakistan,2020-02-07,0
Pakistan,2020-02-08,0
Pakistan,2020-02-09,0
Pakistan,2020-02-10,0
Pakistan,2020-02-11,0
Pakistan,2020-02-12,0
Pakistan,2020-02-13,0
Pakistan,2020-02-14,0
Pakistan,2020-02-15,0
Pakistan,2020-02-16,0
Pakistan,2020-02-17,0
Pakistan,2020-02-18,0
Pakistan,2020-02-19,0
Pakistan,2020-02-20,0
Pakistan,2020-02-21,0
Pakistan,2020-02-22,0
Pakistan,2020-02-23,0
Pakistan,2020-02-24,0
Pakistan,2020-02-25,0
Pakistan,2020-02-26,2
Pakistan,2020-02-27,2
Pakistan,2020-02-28,2
Pakistan,2020-02-29,4
Pakistan,2020-03-01,4
Pakistan,2020-03-02,4
Pakistan,2020-03-03,5
Pakistan,2020-03-04,5
Pakistan,2020-03-05,5
Pakistan,2020-03-06,6
Pakistan,2020-03-07,6
Pakistan,2020-03-08,6
Pakistan,2020-03-09,6
Pakistan,2020-03-10,16
Pakistan,2020-03-11,19
Pakistan,2020-03-12,20
Pakistan,2020-03-13,28
Pakistan,2020-03-14,31
Pakistan,2020-03-15,53
Pakistan,2020-03-16,136
