Country/Region,Date,all_cases
Philippines,2020-01-22,0
Philippines,2020-01-23,0
Philippines,2020-01-24,0
Philippines,2020-01-25,0
Philippines,2020-01-26,0
Philippines,2020-01-27,0
Philippines,2020-01-28,0
Philippines,2020-01-29,0
Philippines,2020-01-30,1
Philippines,2020-01-31,1
Philippines,2020-02-01,1
Philippines,2020-02-02,2
Philippines,2020-02-03,2
Philippines,2020-02-04,2
Philippines,2020-02-05,2
Philippines,2020-02-06,2
Philippines,2020-02-07,3
Philippines,2020-02-08,3
Philippines,2020-02-09,3
Philippines,2020-02-10,3
Philippines,2020-02-11,3
Philippines,2020-02-12,3
Philippines,2020-02-13,3
Philippines,2020-02-14,3
Philippines,2020-02-15,3
Philippines,2020-02-16,3
Philippines,2020-02-17,3
Philippines,2020-02-18,3
Philippines,2020-02-19,3
Philippines,2020-02-20,3
Philippines,2020-02-21,3
Philippines,2020-02-22,3
Philippines,2020-02-23,3
Philippines,2020-02-24,3
Philippines,2020-02-25,3
Philippines,2020-02-26,3
Philippines,2020-02-27,3
Philippines,2020-02-28,3
Philippines,2020-02-29,3
Philippines,2020-03-01,3
Philippines,2020-03-02,3
Philippines,2020-03-03,3
Philippines,2020-03-04,3
Philippines,2020-03-05,3
Philippines,2020-03-06,5
Philippines,2020-03-07,6
Philippines,2020-03-08,10
Philippines,2020-03-09,20
Philippines,2020-03-10,33
Philippines,2020-03-11,49
Philippines,2020-03-12,52
Philippines,2020-03-13,64
Philippines,2020-03-14,111
Philippines,2020-03-15,140
Philippines,2020-03-16,142
Philippines,2020-03-17,187
Philippines,2020-03-18,202
