Country/Region,Date,all_cases
Romania,2020-01-22,0
Romania,2020-01-23,0
Romania,2020-01-24,0
Romania,2020-01-25,0
Romania,2020-01-26,0
Romania,2020-01-27,0
Romania,2020-01-28,0
Romania,2020-01-29,0
Romania,2020-01-30,0
Romania,2020-01-31,0
Romania,2020-02-01,0
Romania,2020-02-02,0
Romania,2020-02-03,0
Romania,2020-02-04,0
Romania,2020-02-05,0
Romania,2020-02-06,0
Romania,2020-02-07,0
Romania,2020-02-08,0
Romania,2020-02-09,0
Romania,2020-02-10,0
Romania,2020-02-11,0
Romania,2020-02-12,0
Romania,2020-02-13,0
Romania,2020-02-14,0
Romania,2020-02-15,0
Romania,2020-02-16,0
Romania,2020-02-17,0
Romania,2020-02-18,0
Romania,2020-02-19,0
Romania,2020-02-20,0
Romania,2020-02-21,0
Romania,2020-02-22,0
Romania,2020-02-23,0
Romania,2020-02-24,0
Romania,2020-02-25,0
Romania,2020-02-26,1
Romania,2020-02-27,1
Romania,2020-02-28,3
Romania,2020-02-29,3
Romania,2020-03-01,3
Romania,2020-03-02,3
Romania,2020-03-03,3
Romania,2020-03-04,4
Romania,2020-03-05,6
Romania,2020-03-06,9
Romania,2020-03-07,9
Romania,2020-03-08,15
Romania,2020-03-09,15
Romania,2020-03-10,25
Romania,2020-03-11,45
Romania,2020-03-12,49
Romania,2020-03-13,89
Romania,2020-03-14,123
Romania,2020-03-15,131
Romania,2020-03-16,158
Romania,2020-03-17,184
Romania,2020-03-18,260
Romania,2020-03-19,277
Romania,2020-03-20,308
Romania,2020-03-21,367
