Country/Region,Date,all_cases
Russia,2020-01-22,0
Russia,2020-01-23,0
Russia,2020-01-24,0
Russia,2020-01-25,0
Russia,2020-01-26,0
Russia,2020-01-27,0
Russia,2020-01-28,0
Russia,2020-01-29,0
Russia,2020-01-30,0
Russia,2020-01-31,2
Russia,2020-02-01,2
Russia,2020-02-02,2
Russia,2020-02-03,2
Russia,2020-02-04,2
Russia,2020-02-05,2
Russia,2020-02-06,2
Russia,2020-02-07,2
Russia,2020-02-08,2
Russia,2020-02-09,2
Russia,2020-02-10,2
Russia,2020-02-11,2
Russia,2020-02-12,2
Russia,2020-02-13,2
Russia,2020-02-14,2
Russia,2020-02-15,2
Russia,2020-02-16,2
Russia,2020-02-17,2
Russia,2020-02-18,2
Russia,2020-02-19,2
Russia,2020-02-20,2
Russia,2020-02-21,2
Russia,2020-02-22,2
Russia,2020-02-23,2
Russia,2020-02-24,2
Russia,2020-02-25,2
Russia,2020-02-26,2
Russia,2020-02-27,2
Russia,2020-02-28,2
Russia,2020-02-29,2
Russia,2020-03-01,2
Russia,2020-03-02,3
Russia,2020-03-03,3
Russia,2020-03-04,3
Russia,2020-03-05,4
Russia,2020-03-06,13
Russia,2020-03-07,13
Russia,2020-03-08,17
Russia,2020-03-09,17
Russia,2020-03-10,20
Russia,2020-03-11,20
Russia,2020-03-12,28
Russia,2020-03-13,45
Russia,2020-03-14,59
Russia,2020-03-15,63
Russia,2020-03-16,90
Russia,2020-03-17,114
Russia,2020-03-18,147
Russia,2020-03-19,199
Russia,2020-03-20,253
Russia,2020-03-21,306
