Country/Region,Date,all_cases
Singapore,2020-01-22,0
Singapore,2020-01-23,1
Singapore,2020-01-24,3
Singapore,2020-01-25,3
Singapore,2020-01-26,4
Singapore,2020-01-27,5
Singapore,2020-01-28,7
Singapore,2020-01-29,7
Singapore,2020-01-30,10
Singapore,2020-01-31,13
Singapore,2020-02-01,16
Singapore,2020-02-02,18
Singapore,2020-02-03,18
Singapore,2020-02-04,24
Singapore,2020-02-05,28
Singapore,2020-02-06,28
Singapore,2020-02-07,30
Singapore,2020-02-08,33
Singapore,2020-02-09,40
Singapore,2020-02-10,45
Singapore,2020-02-11,47
Singapore,2020-02-12,50
Singapore,2020-02-13,58
Singapore,2020-02-14,67
Singapore,2020-02-15,72
Singapore,2020-02-16,75
Singapore,2020-02-17,77
Singapore,2020-02-18,81
Singapore,2020-02-19,84
Singapore,2020-02-20,84
Singapore,2020-02-21,85
Singapore,2020-02-22,85
Singapore,2020-02-23,89
Singapore,2020-02-24,89
Singapore,2020-02-25,91
Singapore,2020-02-26,93
Singapore,2020-02-27,93
Singapore,2020-02-28,93
Singapore,2020-02-29,102
Singapore,2020-03-01,106
Singapore,2020-03-02,108
Singapore,2020-03-03,110
Singapore,2020-03-04,110
Singapore,2020-03-05,117
Singapore,2020-03-06,130
Singapore,2020-03-07,138
Singapore,2020-03-08,150
Singapore,2020-03-09,150
Singapore,2020-03-10,160
Singapore,2020-03-11,178
Singapore,2020-03-12,178
Singapore,2020-03-13,200
Singapore,2020-03-14,212
Singapore,2020-03-15,226
Singapore,2020-03-16,243
Singapore,2020-03-17,266
Singapore,2020-03-18,313
Singapore,2020-03-19,345
Singapore,2020-03-20,385
