Country/Region,Date,all_cases
Thailand,2020-01-22,2
Thailand,2020-01-23,3
Thailand,2020-01-24,5
Thailand,2020-01-25,7
Thailand,2020-01-26,8
Thailand,2020-01-27,8
Thailand,2020-01-28,14
Thailand,2020-01-29,14
Thailand,2020-01-30,14
Thailand,2020-01-31,19
Thailand,2020-02-01,19
Thailand,2020-02-02,19
Thailand,2020-02-03,19
Thailand,2020-02-04,25
Thailand,2020-02-05,25
Thailand,2020-02-06,25
Thailand,2020-02-07,25
Thailand,2020-02-08,32
Thailand,2020-02-09,32
Thailand,2020-02-10,32
Thailand,2020-02-11,33
Thailand,2020-02-12,33
Thailand,2020-02-13,33
Thailand,2020-02-14,33
Thailand,2020-02-15,33
Thailand,2020-02-16,34
Thailand,2020-02-17,35
Thailand,2020-02-18,35
Thailand,2020-02-19,35
Thailand,2020-02-20,35
Thailand,2020-02-21,35
Thailand,2020-02-22,35
Thailand,2020-02-23,35
Thailand,2020-02-24,35
Thailand,2020-02-25,37
Thailand,2020-02-26,40
Thailand,2020-02-27,40
Thailand,2020-02-28,41
Thailand,2020-02-29,42
Thailand,2020-03-01,42
Thailand,2020-03-02,43
Thailand,2020-03-03,43
Thailand,2020-03-04,43
Thailand,2020-03-05,47
Thailand,2020-03-06,48
Thailand,2020-03-07,50
Thailand,2020-03-08,50
Thailand,2020-03-09,50
Thailand,2020-03-10,53
Thailand,2020-03-11,59
Thailand,2020-03-12,70
Thailand,2020-03-13,75
Thailand,2020-03-14,82
Thailand,2020-03-15,114
Thailand,2020-03-16,147
Thailand,2020-03-17,177
Thailand,2020-03-18,212
Thailand,2020-03-19,272
Thailand,2020-03-20,322
Thailand,2020-03-21,411
Thailand,2020-03-22,599
Thailand,2020-03-23,599
