Country/Region,Date,all_cases
Tunisia,2020-01-22,0
Tunisia,2020-01-23,0
Tunisia,2020-01-24,0
Tunisia,2020-01-25,0
Tunisia,2020-01-26,0
Tunisia,2020-01-27,0
Tunisia,2020-01-28,0
Tunisia,2020-01-29,0
Tunisia,2020-01-30,0
Tunisia,2020-01-31,0
Tunisia,2020-02-01,0
Tunisia,2020-02-02,0
Tunisia,2020-02-03,0
Tunisia,2020-02-04,0
Tunisia,2020-02-05,0
Tunisia,2020-02-06,0
Tunisia,2020-02-07,0
Tunisia,2020-02-08,0
Tunisia,2020-02-09,0
Tunisia,2020-02-10,0
Tunisia,2020-02-11,0
Tunisia,2020-02-12,0
Tunisia,2020-02-13,0
Tunisia,2020-02-14,0
Tunisia,2020-02-15,0
Tunisia,2020-02-16,0
Tunisia,2020-02-17,0
Tunisia,2020-02-18,0
Tunisia,2020-02-19,0
Tunisia,2020-02-20,0
Tunisia,2020-02-21,0
Tunisia,2020-02-22,0
Tunisia,2020-02-23,0
Tunisia,2020-02-24,0
Tunisia,2020-02-25,0
Tunisia,2020-02-26,0
Tunisia,2020-02-27,0
Tunisia,2020-02-28,0
Tunisia,2020-02-29,0
Tunisia,2020-03-01,0
Tunisia,2020-03-02,0
Tunisia,2020-03-03,0
Tunisia,2020-03-04,1
Tunisia,2020-03-05,1
Tunisia,2020-03-06,1
Tunisia,2020-03-07,1
Tunisia,2020-03-08,2
Tunisia,2020-03-09,2
Tunisia,2020-03-10,5
Tunisia,2020-03-11,7
Tunisia,2020-03-12,7
Tunisia,2020-03-13,16
Tunisia,2020-03-14,18
Tunisia,2020-03-15,18
Tunisia,2020-03-16,20
Tunisia,2020-03-17,24
Tunisia,2020-03-18,29
Tunisia,2020-03-19,39
Tunisia,2020-03-20,54
