Country/Region,Date,all_cases
US,2020-01-22,1
US,2020-01-23,1
US,2020-01-24,2
US,2020-01-25,2
US,2020-01-26,5
US,2020-01-27,5
US,2020-01-28,5
US,2020-01-29,5
US,2020-01-30,5
US,2020-01-31,7
US,2020-02-01,8
US,2020-02-02,8
US,2020-02-03,11
US,2020-02-04,11
US,2020-02-05,11
US,2020-02-06,11
US,2020-02-07,11
US,2020-02-08,11
US,2020-02-09,11
US,2020-02-10,11
US,2020-02-11,12
US,2020-02-12,12
US,2020-02-13,13
US,2020-02-14,13
US,2020-02-15,13
US,2020-02-16,13
US,2020-02-17,13
US,2020-02-18,13
US,2020-02-19,13
US,2020-02-20,13
US,2020-02-21,15
US,2020-02-22,15
US,2020-02-23,15
US,2020-02-24,51
US,2020-02-25,51
US,2020-02-26,57
US,2020-02-27,58
US,2020-02-28,60
US,2020-02-29,68
US,2020-03-01,74
US,2020-03-02,98
US,2020-03-03,118
US,2020-03-04,149
US,2020-03-05,217
US,2020-03-06,262
US,2020-03-07,402
US,2020-03-08,518
US,2020-03-09,583
US,2020-03-10,959
US,2020-03-11,1281
US,2020-03-12,1663
US,2020-03-13,2179
US,2020-03-14,2727
US,2020-03-15,3499
US,2020-03-16,4632
US,2020-03-17,6421
