Country/Region,Date,all_cases
United Kingdom,2020-01-22,0
United Kingdom,2020-01-23,0
United Kingdom,2020-01-24,0
United Kingdom,2020-01-25,0
United Kingdom,2020-01-26,0
United Kingdom,2020-01-27,0
United Kingdom,2020-01-28,0
United Kingdom,2020-01-29,0
United Kingdom,2020-01-30,0
United Kingdom,2020-01-31,2
United Kingdom,2020-02-01,2
United Kingdom,2020-02-02,2
United Kingdom,2020-02-03,2
United Kingdom,2020-02-04,2
United Kingdom,2020-02-05,2
United Kingdom,2020-02-06,2
United Kingdom,2020-02-07,3
United Kingdom,2020-02-08,3
United Kingdom,2020-02-09,3
United Kingdom,2020-02-10,8
United Kingdom,2020-02-11,8
United Kingdom,2020-02-12,9
United Kingdom,2020-02-13,9
United Kingdom,2020-02-14,9
United Kingdom,2020-02-15,9
United Kingdom,2020-02-16,9
United Kingdom,2020-02-17,9
United Kingdom,2020-02-18,9
United Kingdom,2020-02-19,9
United Kingdom,2020-02-20,9
United Kingdom,2020-02-21,9
United Kingdom,2020-02-22,9
United Kingdom,2020-02-23,9
United Kingdom,2020-02-24,13
United Kingdom,2020-02-25,13
United Kingdom,2020-02-26,13
United Kingdom,2020-02-27,15
United Kingdom,2020-02-28,20
United Kingdom,2020-02-29,23
United Kingdom,2020-03-01,36
United Kingdom,2020-03-02,40
United Kingdom,2020-03-03,51
United Kingdom,2020-03-04,86
United Kingdom,2020-03-05,116
United Kingdom,2020-03-06,164
United Kingdom,2020-03-07,207
United Kingdom,2020-03-08,274
United Kingdom,2020-03-09,322
United Kingdom,2020-03-10,384
United Kingdom,2020-03-11,459
United Kingdom,2020-03-12,459
United Kingdom,2020-03-13,802
United Kingdom,2020-03-14,1144
United Kingdom,2020-03-15,1145
United Kingdom,2020-03-16,1551
United Kingdom,2020-03-17,1960
United Kingdom,2020-03-18,2642
United Kingdom,2020-03-19,2716
