Country/Region,Date,all_cases
China,2020-01-22,17
China,2020-01-23,18
China,2020-01-24,26
China,2020-01-25,42
China,2020-01-26,56
China,2020-01-27,82
China,2020-01-28,131
China,2020-01-29,133
China,2020-01-30,171
China,2020-01-31,213
China,2020-02-01,259
China,2020-02-02,361
China,2020-02-03,425
China,2020-02-04,491
China,2020-02-05,563
China,2020-02-06,633
China,2020-02-07,718
China,2020-02-08,805
China,2020-02-09,905
China,2020-02-10,1012
China,2020-02-11,1112
China,2020-02-12,1117
China,2020-02-13,1369
China,2020-02-14,1521
China,2020-02-15,1663
China,2020-02-16,1766
China,2020-02-17,1864
China,2020-02-18,2003
China,2020-02-19,2116
China,2020-02-20,2238
China,2020-02-21,2238
China,2020-02-22,2443
China,2020-02-23,2445
China,2020-02-24,2595
China,2020-02-25,2665
China,2020-02-26,2717
China,2020-02-27,2746
China,2020-02-28,2790
China,2020-02-29,2837
China,2020-03-01,2872
China,2020-03-02,2914
China,2020-03-03,2947
China,2020-03-04,2983
China,2020-03-05,3015
China,2020-03-06,3044
China,2020-03-07,3072
China,2020-03-08,3100
China,2020-03-09,3123
China,2020-03-10,3139
China,2020-03-11,3161
China,2020-03-12,3172
China,2020-03-13,3180
China,2020-03-14,3193
China,2020-03-15,3203
