Country/Region,Date,all_cases
France,2020-01-22,0
France,2020-01-23,0
France,2020-01-24,0
France,2020-01-25,0
France,2020-01-26,0
France,2020-01-27,0
France,2020-01-28,0
France,2020-01-29,0
France,2020-01-30,0
France,2020-01-31,0
France,2020-02-01,0
France,2020-02-02,0
France,2020-02-03,0
France,2020-02-04,0
France,2020-02-05,0
France,2020-02-06,0
France,2020-02-07,0
France,2020-02-08,0
France,2020-02-09,0
France,2020-02-10,0
France,2020-02-11,0
France,2020-02-12,0
France,2020-02-13,0
France,2020-02-14,0
France,2020-02-15,1
France,2020-02-16,1
France,2020-02-17,1
France,2020-02-18,1
France,2020-02-19,1
France,2020-02-20,1
France,2020-02-21,1
France,2020-02-22,1
France,2020-02-23,1
France,2020-02-24,1
France,2020-02-25,1
France,2020-02-26,2
France,2020-02-27,2
France,2020-02-28,2
France,2020-02-29,2
France,2020-03-01,2
France,2020-03-02,3
France,2020-03-03,4
France,2020-03-04,4
France,2020-03-05,6
France,2020-03-06,9
France,2020-03-07,11
France,2020-03-08,19
France,2020-03-09,19
France,2020-03-10,33
France,2020-03-11,48
France,2020-03-12,48
France,2020-03-13,79
France,2020-03-14,91
France,2020-03-15,91
France,2020-03-16,148
France,2020-03-17,148
France,2020-03-18,148
France,2020-03-19,243
France,2020-03-20,450
France,2020-03-21,562
