Country/Region,Date,all_cases
Germany,2020-01-22,0
Germany,2020-01-23,0
Germany,2020-01-24,0
Germany,2020-01-25,0
Germany,2020-01-26,0
Germany,2020-01-27,0
Germany,2020-01-28,0
Germany,2020-01-29,0
Germany,2020-01-30,0
Germany,2020-01-31,0
Germany,2020-02-01,0
Germany,2020-02-02,0
Germany,2020-02-03,0
Germany,2020-02-04,0
Germany,2020-02-05,0
Germany,2020-02-06,0
Germany,2020-02-07,0
Germany,2020-02-08,0
Germany,2020-02-09,0
Germany,2020-02-10,0
Germany,2020-02-11,0
Germany,2020-02-12,0
Germany,2020-02-13,0
Germany,2020-02-14,0
Germany,2020-02-15,0
Germany,2020-02-16,0
Germany,2020-02-17,0
Germany,2020-02-18,0
Germany,2020-02-19,0
Germany,2020-02-20,0
Germany,2020-02-21,0
Germany,2020-02-22,0
Germany,2020-02-23,0
Germany,2020-02-24,0
Germany,2020-02-25,0
Germany,2020-02-26,0
Germany,2020-02-27,0
Germany,2020-02-28,0
Germany,2020-02-29,0
Germany,2020-03-01,0
Germany,2020-03-02,0
Germany,2020-03-03,0
Germany,2020-03-04,0
Germany,2020-03-05,0
Germany,2020-03-06,0
Germany,2020-03-07,0
Germany,2020-03-08,0
Germany,2020-03-09,2
Germany,2020-03-10,2
Germany,2020-03-11,3
Germany,2020-03-12,3
Germany,2020-03-13,7
Germany,2020-03-14,9
Germany,2020-03-15,11
Germany,2020-03-16,17
Germany,2020-03-17,24
Germany,2020-03-18,28
Germany,2020-03-19,44
