Country/Region,Date,all_cases
Iran,2020-01-22,0
Iran,2020-01-23,0
Iran,2020-01-24,0
Iran,2020-01-25,0
Iran,2020-01-26,0
Iran,2020-01-27,0
Iran,2020-01-28,0
Iran,2020-01-29,0
Iran,2020-01-30,0
Iran,2020-01-31,0
Iran,2020-02-01,0
Iran,2020-02-02,0
Iran,2020-02-03,0
Iran,2020-02-04,0
Iran,2020-02-05,0
Iran,2020-02-06,0
Iran,2020-02-07,0
Iran,2020-02-08,0
Iran,2020-02-09,0
Iran,2020-02-10,0
Iran,2020-02-11,0
Iran,2020-02-12,0
Iran,2020-02-13,0
Iran,2020-02-14,0
Iran,2020-02-15,0
Iran,2020-02-16,0
Iran,2020-02-17,0
Iran,2020-02-18,0
Iran,2020-02-19,2
Iran,2020-02-20,2
Iran,2020-02-21,4
Iran,2020-02-22,5
Iran,2020-02-23,8
Iran,2020-02-24,12
Iran,2020-02-25,16
Iran,2020-02-26,19
Iran,2020-02-27,26
Iran,2020-02-28,34
Iran,2020-02-29,43
Iran,2020-03-01,54
Iran,2020-03-02,66
Iran,2020-03-03,77
Iran,2020-03-04,92
Iran,2020-03-05,107
Iran,2020-03-06,124
Iran,2020-03-07,145
Iran,2020-03-08,194
Iran,2020-03-09,237
Iran,2020-03-10,291
Iran,2020-03-11,354
Iran,2020-03-12,429
Iran,2020-03-13,514
Iran,2020-03-14,611
Iran,2020-03-15,724
