Country/Region,Date,all_cases
Italy,2020-01-22,0
Italy,2020-01-23,0
Italy,2020-01-24,0
Italy,2020-01-25,0
Italy,2020-01-26,0
Italy,2020-01-27,0
Italy,2020-01-28,0
Italy,2020-01-29,0
Italy,2020-01-30,0
Italy,2020-01-31,0
Italy,2020-02-01,0
Italy,2020-02-02,0
Italy,2020-02-03,0
Italy,2020-02-04,0
Italy,2020-02-05,0
Italy,2020-02-06,0
Italy,2020-02-07,0
Italy,2020-02-08,0
Italy,2020-02-09,0
Italy,2020-02-10,0
Italy,2020-02-11,0
Italy,2020-02-12,0
Italy,2020-02-13,0
Italy,2020-02-14,0
Italy,2020-02-15,0
Italy,2020-02-16,0
Italy,2020-02-17,0
Italy,2020-02-18,0
Italy,2020-02-19,0
Italy,2020-02-20,0
Italy,2020-02-21,1
Italy,2020-02-22,2
Italy,2020-02-23,3
Italy,2020-02-24,7
Italy,2020-02-25,10
Italy,2020-02-26,12
Italy,2020-02-27,17
Italy,2020-02-28,21
Italy,2020-02-29,29
Italy,2020-03-01,34
Italy,2020-03-02,52
Italy,2020-03-03,79
Italy,2020-03-04,107
Italy,2020-03-05,148
Italy,2020-03-06,197
Italy,2020-03-07,233
Italy,2020-03-08,366
Italy,2020-03-09,463
Italy,2020-03-10,631
Italy,2020-03-11,827
Italy,2020-03-12,827
Italy,2020-03-13,1266
Italy,2020-03-14,1441
Italy,2020-03-15,1809
Italy,2020-03-16,2158
Italy,2020-03-17,2503
Italy,2020-03-18,2978
Italy,2020-03-19,3405
Italy,2020-03-20,4032
Italy,2020-03-21,4825
Italy,2020-03-22,5476
