Country/Region,Date,all_cases
Korea, South,2020-01-22,0
Korea, South,2020-01-23,0
Korea, South,2020-01-24,0
Korea, South,2020-01-25,0
Korea, South,2020-01-26,0
Korea, South,2020-01-27,0
Korea, South,2020-01-28,0
Korea, South,2020-01-29,0
Korea, South,2020-01-30,0
Korea, South,2020-01-31,0
Korea, South,2020-02-01,0
Korea, South,2020-02-02,0
Korea, South,2020-02-03,0
Korea, South,2020-02-04,0
Korea, South,2020-02-05,0
Korea, South,2020-02-06,0
Korea, South,2020-02-07,0
Korea, South,2020-02-08,0
Korea, South,2020-02-09,0
Korea, South,2020-02-10,0
Korea, South,2020-02-11,0
Korea, South,2020-02-12,0
Korea, South,2020-02-13,0
Korea, South,2020-02-14,0
Korea, South,2020-02-15,0
Korea, South,2020-02-16,0
Korea, South,2020-02-17,0
Korea, South,2020-02-18,0
Korea, South,2020-02-19,0
Korea, South,2020-02-20,1
Korea, South,2020-02-21,2
Korea, South,2020-02-22,2
Korea, South,2020-02-23,6
Korea, South,2020-02-24,8
Korea, South,2020-02-25,10
Korea, South,2020-02-26,12
Korea, South,2020-02-27,13
Korea, South,2020-02-28,13
Korea, South,2020-02-29,16
Korea, South,2020-03-01,17
Korea, South,2020-03-02,28
Korea, South,2020-03-03,28
Korea, South,2020-03-04,35
Korea, South,2020-03-05,35
Korea, South,2020-03-06,42
Korea, South,2020-03-07,44
Korea, South,2020-03-08,50
Korea, South,2020-03-09,53
Korea, South,2020-03-10,54
Korea, South,2020-03-11,60
Korea, South,2020-03-12,66
Korea, South,2020-03-13,66
Korea, South,2020-03-14,72
Korea, South,2020-03-15,75
Korea, South,2020-03-16,75
Korea, South,2020-03-17,81
