Country/Region,Date,all_cases
US,2020-01-22,0
US,2020-01-23,0
US,2020-01-24,0
US,2020-01-25,0
US,2020-01-26,0
US,2020-01-27,0
US,2020-01-28,0
US,2020-01-29,0
US,2020-01-30,0
US,2020-01-31,0
US,2020-02-01,0
US,2020-02-02,0
US,2020-02-03,0
US,2020-02-04,0
US,2020-02-05,0
US,2020-02-06,0
US,2020-02-07,0
US,2020-02-08,0
US,2020-02-09,0
US,2020-02-10,0
US,2020-02-11,0
US,2020-02-12,0
US,2020-02-13,0
US,2020-02-14,0
US,2020-02-15,0
US,2020-02-16,0
US,2020-02-17,0
US,2020-02-18,0
US,2020-02-19,0
US,2020-02-20,0
US,2020-02-21,0
US,2020-02-22,0
US,2020-02-23,0
US,2020-02-24,0
US,2020-02-25,0
US,2020-02-26,0
US,2020-02-27,0
US,2020-02-28,0
US,2020-02-29,1
US,2020-03-01,1
US,2020-03-02,6
US,2020-03-03,7
US,2020-03-04,11
US,2020-03-05,12
US,2020-03-06,14
US,2020-03-07,17
US,2020-03-08,21
US,2020-03-09,22
US,2020-03-10,28
US,2020-03-11,36
US,2020-03-12,40
US,2020-03-13,47
US,2020-03-14,54
US,2020-03-15,63
US,2020-03-16,85
US,2020-03-17,108
