Country/Region,Date,all_cases
Belgium,2020-01-22,0
Belgium,2020-01-23,0
Belgium,2020-01-24,0
Belgium,2020-01-25,0
Belgium,2020-01-26,0
Belgium,2020-01-27,0
Belgium,2020-01-28,0
Belgium,2020-01-29,0
Belgium,2020-01-30,0
Belgium,2020-01-31,0
Belgium,2020-02-01,0
Belgium,2020-02-02,0
Belgium,2020-02-03,0
Belgium,2020-02-04,0
Belgium,2020-02-05,0
Belgium,2020-02-06,0
Belgium,2020-02-07,0
Belgium,2020-02-08,0
Belgium,2020-02-09,0
Belgium,2020-02-10,0
Belgium,2020-02-11,0
Belgium,2020-02-12,0
Belgium,2020-02-13,0
Belgium,2020-02-14,0
Belgium,2020-02-15,0
Belgium,2020-02-16,0
Belgium,2020-02-17,1
Belgium,2020-02-18,1
Belgium,2020-02-19,1
Belgium,2020-02-20,1
Belgium,2020-02-21,1
Belgium,2020-02-22,1
Belgium,2020-02-23,1
Belgium,2020-02-24,1
Belgium,2020-02-25,1
Belgium,2020-02-26,1
Belgium,2020-02-27,1
Belgium,2020-02-28,1
Belgium,2020-02-29,1
Belgium,2020-03-01,1
Belgium,2020-03-02,1
Belgium,2020-03-03,1
Belgium,2020-03-04,1
Belgium,2020-03-05,1
Belgium,2020-03-06,1
Belgium,2020-03-07,1
Belgium,2020-03-08,1
Belgium,2020-03-09,1
Belgium,2020-03-10,1
Belgium,2020-03-11,1
Belgium,2020-03-12,1
Belgium,2020-03-13,1
Belgium,2020-03-14,1
Belgium,2020-03-15,1
