Country/Region,Date,all_cases
Canada,2020-01-22,0
Canada,2020-01-23,0
Canada,2020-01-24,0
Canada,2020-01-25,0
Canada,2020-01-26,0
Canada,2020-01-27,0
Canada,2020-01-28,0
Canada,2020-01-29,0
Canada,2020-01-30,0
Canada,2020-01-31,0
Canada,2020-02-01,0
Canada,2020-02-02,0
Canada,2020-02-03,0
Canada,2020-02-04,0
Canada,2020-02-05,0
Canada,2020-02-06,0
Canada,2020-02-07,0
Canada,2020-02-08,0
Canada,2020-02-09,0
Canada,2020-02-10,0
Canada,2020-02-11,0
Canada,2020-02-12,1
Canada,2020-02-13,1
Canada,2020-02-14,1
Canada,2020-02-15,1
Canada,2020-02-16,1
Canada,2020-02-17,1
Canada,2020-02-18,1
Canada,2020-02-19,1
Canada,2020-02-20,1
Canada,2020-02-21,3
Canada,2020-02-22,3
Canada,2020-02-23,3
Canada,2020-02-24,3
Canada,2020-02-25,3
Canada,2020-02-26,3
Canada,2020-02-27,6
Canada,2020-02-28,6
Canada,2020-02-29,6
Canada,2020-03-01,6
Canada,2020-03-02,6
Canada,2020-03-03,6
Canada,2020-03-04,6
Canada,2020-03-05,6
Canada,2020-03-06,6
Canada,2020-03-07,8
Canada,2020-03-08,8
Canada,2020-03-09,8
Canada,2020-03-10,8
Canada,2020-03-11,8
Canada,2020-03-12,8
Canada,2020-03-13,8
Canada,2020-03-14,8
Canada,2020-03-15,8
Canada,2020-03-16,9
Canada,2020-03-17,9
Canada,2020-03-18,9
Canada,2020-03-19,9
Canada,2020-03-20,9
Canada,2020-03-21,10
Canada,2020-03-22,10
