Country/Region,Date,all_cases
China,2020-01-22,28
China,2020-01-23,30
China,2020-01-24,36
China,2020-01-25,39
China,2020-01-26,49
China,2020-01-27,58
China,2020-01-28,101
China,2020-01-29,120
China,2020-01-30,135
China,2020-01-31,214
China,2020-02-01,275
China,2020-02-02,463
China,2020-02-03,614
China,2020-02-04,843
China,2020-02-05,1115
China,2020-02-06,1477
China,2020-02-07,1999
China,2020-02-08,2596
China,2020-02-09,3219
China,2020-02-10,3918
China,2020-02-11,4636
China,2020-02-12,5082
China,2020-02-13,6217
China,2020-02-14,7977
China,2020-02-15,9298
China,2020-02-16,10755
China,2020-02-17,12462
China,2020-02-18,14206
China,2020-02-19,15962
China,2020-02-20,18014
China,2020-02-21,18704
China,2020-02-22,22699
China,2020-02-23,23187
China,2020-02-24,25015
China,2020-02-25,27676
China,2020-02-26,30084
China,2020-02-27,32930
China,2020-02-28,36329
China,2020-02-29,39320
China,2020-03-01,42162
China,2020-03-02,44854
China,2020-03-03,47450
China,2020-03-04,50001
China,2020-03-05,52292
China,2020-03-06,53944
China,2020-03-07,55539
China,2020-03-08,57388
China,2020-03-09,58804
China,2020-03-10,60181
China,2020-03-11,61644
China,2020-03-12,62901
China,2020-03-13,64196
China,2020-03-14,65660
China,2020-03-15,67017
