Country/Region,Date,all_cases
Egypt,2020-01-22,0
Egypt,2020-01-23,0
Egypt,2020-01-24,0
Egypt,2020-01-25,0
Egypt,2020-01-26,0
Egypt,2020-01-27,0
Egypt,2020-01-28,0
Egypt,2020-01-29,0
Egypt,2020-01-30,0
Egypt,2020-01-31,0
Egypt,2020-02-01,0
Egypt,2020-02-02,0
Egypt,2020-02-03,0
Egypt,2020-02-04,0
Egypt,2020-02-05,0
Egypt,2020-02-06,0
Egypt,2020-02-07,0
Egypt,2020-02-08,0
Egypt,2020-02-09,0
Egypt,2020-02-10,0
Egypt,2020-02-11,0
Egypt,2020-02-12,0
Egypt,2020-02-13,0
Egypt,2020-02-14,0
Egypt,2020-02-15,0
Egypt,2020-02-16,0
Egypt,2020-02-17,0
Egypt,2020-02-18,0
Egypt,2020-02-19,0
Egypt,2020-02-20,0
Egypt,2020-02-21,0
Egypt,2020-02-22,0
Egypt,2020-02-23,0
Egypt,2020-02-24,0
Egypt,2020-02-25,0
Egypt,2020-02-26,0
Egypt,2020-02-27,0
Egypt,2020-02-28,1
Egypt,2020-02-29,1
Egypt,2020-03-01,1
Egypt,2020-03-02,1
Egypt,2020-03-03,1
Egypt,2020-03-04,1
Egypt,2020-03-05,1
Egypt,2020-03-06,1
Egypt,2020-03-07,1
Egypt,2020-03-08,1
Egypt,2020-03-09,1
Egypt,2020-03-10,1
Egypt,2020-03-11,27
Egypt,2020-03-12,27
Egypt,2020-03-13,27
Egypt,2020-03-14,27
Egypt,2020-03-15,21
Egypt,2020-03-16,27
Egypt,2020-03-17,32
Egypt,2020-03-18,32
Egypt,2020-03-19,32
Egypt,2020-03-20,39
Egypt,2020-03-21,41
Egypt,2020-03-22,56
Egypt,2020-03-23,56
