Country/Region,Date,all_cases
France,2020-01-22,0
France,2020-01-23,0
France,2020-01-24,0
France,2020-01-25,0
France,2020-01-26,0
France,2020-01-27,0
France,2020-01-28,0
France,2020-01-29,0
France,2020-01-30,0
France,2020-01-31,0
France,2020-02-01,0
France,2020-02-02,0
France,2020-02-03,0
France,2020-02-04,0
France,2020-02-05,0
France,2020-02-06,0
France,2020-02-07,0
France,2020-02-08,0
France,2020-02-09,0
France,2020-02-10,0
France,2020-02-11,0
France,2020-02-12,2
France,2020-02-13,2
France,2020-02-14,2
France,2020-02-15,4
France,2020-02-16,4
France,2020-02-17,4
France,2020-02-18,4
France,2020-02-19,4
France,2020-02-20,4
France,2020-02-21,4
France,2020-02-22,4
France,2020-02-23,4
France,2020-02-24,4
France,2020-02-25,11
France,2020-02-26,11
France,2020-02-27,11
France,2020-02-28,11
France,2020-02-29,12
France,2020-03-01,12
France,2020-03-02,12
France,2020-03-03,12
France,2020-03-04,12
France,2020-03-05,12
France,2020-03-06,12
France,2020-03-07,12
France,2020-03-08,12
France,2020-03-09,12
France,2020-03-10,12
France,2020-03-11,12
France,2020-03-12,12
France,2020-03-13,12
France,2020-03-14,12
France,2020-03-15,12
France,2020-03-16,12
France,2020-03-17,12
France,2020-03-18,12
France,2020-03-19,12
France,2020-03-20,12
France,2020-03-21,12
France,2020-03-22,2206
France,2020-03-23,2200
