Country/Region,Date,all_cases
Israel,2020-01-22,0
Israel,2020-01-23,0
Israel,2020-01-24,0
Israel,2020-01-25,0
Israel,2020-01-26,0
Israel,2020-01-27,0
Israel,2020-01-28,0
Israel,2020-01-29,0
Israel,2020-01-30,0
Israel,2020-01-31,0
Israel,2020-02-01,0
Israel,2020-02-02,0
Israel,2020-02-03,0
Israel,2020-02-04,0
Israel,2020-02-05,0
Israel,2020-02-06,0
Israel,2020-02-07,0
Israel,2020-02-08,0
Israel,2020-02-09,0
Israel,2020-02-10,0
Israel,2020-02-11,0
Israel,2020-02-12,0
Israel,2020-02-13,0
Israel,2020-02-14,0
Israel,2020-02-15,0
Israel,2020-02-16,0
Israel,2020-02-17,0
Israel,2020-02-18,0
Israel,2020-02-19,0
Israel,2020-02-20,0
Israel,2020-02-21,0
Israel,2020-02-22,0
Israel,2020-02-23,0
Israel,2020-02-24,0
Israel,2020-02-25,0
Israel,2020-02-26,0
Israel,2020-02-27,1
Israel,2020-02-28,1
Israel,2020-02-29,1
Israel,2020-03-01,1
Israel,2020-03-02,1
Israel,2020-03-03,1
Israel,2020-03-04,1
Israel,2020-03-05,1
Israel,2020-03-06,2
Israel,2020-03-07,2
Israel,2020-03-08,2
Israel,2020-03-09,2
Israel,2020-03-10,4
Israel,2020-03-11,4
Israel,2020-03-12,4
Israel,2020-03-13,4
Israel,2020-03-14,4
Israel,2020-03-15,4
Israel,2020-03-16,4
Israel,2020-03-17,11
Israel,2020-03-18,11
Israel,2020-03-19,11
Israel,2020-03-20,14
Israel,2020-03-21,36
Israel,2020-03-22,37
Israel,2020-03-23,37
