Country/Region,Date,all_cases
Japan,2020-01-22,0
Japan,2020-01-23,0
Japan,2020-01-24,0
Japan,2020-01-25,0
Japan,2020-01-26,1
Japan,2020-01-27,1
Japan,2020-01-28,1
Japan,2020-01-29,1
Japan,2020-01-30,1
Japan,2020-01-31,1
Japan,2020-02-01,1
Japan,2020-02-02,1
Japan,2020-02-03,1
Japan,2020-02-04,1
Japan,2020-02-05,1
Japan,2020-02-06,1
Japan,2020-02-07,1
Japan,2020-02-08,1
Japan,2020-02-09,1
Japan,2020-02-10,4
Japan,2020-02-11,9
Japan,2020-02-12,9
Japan,2020-02-13,9
Japan,2020-02-14,9
Japan,2020-02-15,12
Japan,2020-02-16,12
Japan,2020-02-17,12
Japan,2020-02-18,13
Japan,2020-02-19,18
Japan,2020-02-20,18
Japan,2020-02-21,22
Japan,2020-02-22,22
Japan,2020-02-23,22
Japan,2020-02-24,22
Japan,2020-02-25,22
Japan,2020-02-26,22
Japan,2020-02-27,22
Japan,2020-02-28,22
Japan,2020-02-29,32
Japan,2020-03-01,32
Japan,2020-03-02,32
Japan,2020-03-03,43
Japan,2020-03-04,43
Japan,2020-03-05,43
Japan,2020-03-06,46
Japan,2020-03-07,76
Japan,2020-03-08,76
Japan,2020-03-09,76
Japan,2020-03-10,101
Japan,2020-03-11,118
Japan,2020-03-12,118
Japan,2020-03-13,118
Japan,2020-03-14,118
