Country/Region,Date,all_cases
Korea, South,2020-01-22,0
Korea, South,2020-01-23,0
Korea, South,2020-01-24,0
Korea, South,2020-01-25,0
Korea, South,2020-01-26,0
Korea, South,2020-01-27,0
Korea, South,2020-01-28,0
Korea, South,2020-01-29,0
Korea, South,2020-01-30,0
Korea, South,2020-01-31,0
Korea, South,2020-02-01,0
Korea, South,2020-02-02,0
Korea, South,2020-02-03,0
Korea, South,2020-02-04,0
Korea, South,2020-02-05,0
Korea, South,2020-02-06,0
Korea, South,2020-02-07,1
Korea, South,2020-02-08,1
Korea, South,2020-02-09,3
Korea, South,2020-02-10,3
Korea, South,2020-02-11,3
Korea, South,2020-02-12,7
Korea, South,2020-02-13,7
Korea, South,2020-02-14,7
Korea, South,2020-02-15,9
Korea, South,2020-02-16,9
Korea, South,2020-02-17,10
Korea, South,2020-02-18,12
Korea, South,2020-02-19,12
Korea, South,2020-02-20,16
Korea, South,2020-02-21,16
Korea, South,2020-02-22,16
Korea, South,2020-02-23,18
Korea, South,2020-02-24,18
Korea, South,2020-02-25,22
Korea, South,2020-02-26,22
Korea, South,2020-02-27,22
Korea, South,2020-02-28,22
Korea, South,2020-02-29,27
Korea, South,2020-03-01,30
Korea, South,2020-03-02,30
Korea, South,2020-03-03,30
Korea, South,2020-03-04,41
Korea, South,2020-03-05,41
Korea, South,2020-03-06,135
Korea, South,2020-03-07,135
Korea, South,2020-03-08,118
Korea, South,2020-03-09,118
Korea, South,2020-03-10,247
Korea, South,2020-03-11,288
Korea, South,2020-03-12,333
Korea, South,2020-03-13,510
Korea, South,2020-03-14,510
Korea, South,2020-03-15,510
Korea, South,2020-03-16,1137
