Country/Region,Date,all_cases
Malaysia,2020-01-22,0
Malaysia,2020-01-23,0
Malaysia,2020-01-24,0
Malaysia,2020-01-25,0
Malaysia,2020-01-26,0
Malaysia,2020-01-27,0
Malaysia,2020-01-28,0
Malaysia,2020-01-29,0
Malaysia,2020-01-30,0
Malaysia,2020-01-31,0
Malaysia,2020-02-01,0
Malaysia,2020-02-02,0
Malaysia,2020-02-03,0
Malaysia,2020-02-04,0
Malaysia,2020-02-05,0
Malaysia,2020-02-06,0
Malaysia,2020-02-07,1
Malaysia,2020-02-08,1
Malaysia,2020-02-09,1
Malaysia,2020-02-10,1
Malaysia,2020-02-11,3
Malaysia,2020-02-12,3
Malaysia,2020-02-13,3
Malaysia,2020-02-14,3
Malaysia,2020-02-15,7
Malaysia,2020-02-16,7
Malaysia,2020-02-17,7
Malaysia,2020-02-18,13
Malaysia,2020-02-19,15
Malaysia,2020-02-20,15
Malaysia,2020-02-21,15
Malaysia,2020-02-22,15
Malaysia,2020-02-23,15
Malaysia,2020-02-24,18
Malaysia,2020-02-25,18
Malaysia,2020-02-26,18
Malaysia,2020-02-27,18
Malaysia,2020-02-28,18
Malaysia,2020-02-29,18
Malaysia,2020-03-01,18
Malaysia,2020-03-02,18
Malaysia,2020-03-03,22
Malaysia,2020-03-04,22
Malaysia,2020-03-05,22
Malaysia,2020-03-06,22
Malaysia,2020-03-07,23
Malaysia,2020-03-08,24
Malaysia,2020-03-09,24
Malaysia,2020-03-10,24
Malaysia,2020-03-11,26
Malaysia,2020-03-12,26
Malaysia,2020-03-13,26
Malaysia,2020-03-14,35
Malaysia,2020-03-15,42
Malaysia,2020-03-16,42
