Country/Region,Date,all_cases
Oman,2020-01-22,0
Oman,2020-01-23,0
Oman,2020-01-24,0
Oman,2020-01-25,0
Oman,2020-01-26,0
Oman,2020-01-27,0
Oman,2020-01-28,0
Oman,2020-01-29,0
Oman,2020-01-30,0
Oman,2020-01-31,0
Oman,2020-02-01,0
Oman,2020-02-02,0
Oman,2020-02-03,0
Oman,2020-02-04,0
Oman,2020-02-05,0
Oman,2020-02-06,0
Oman,2020-02-07,0
Oman,2020-02-08,0
Oman,2020-02-09,0
Oman,2020-02-10,0
Oman,2020-02-11,0
Oman,2020-02-12,0
Oman,2020-02-13,0
Oman,2020-02-14,0
Oman,2020-02-15,0
Oman,2020-02-16,0
Oman,2020-02-17,0
Oman,2020-02-18,0
Oman,2020-02-19,0
Oman,2020-02-20,0
Oman,2020-02-21,0
Oman,2020-02-22,0
Oman,2020-02-23,0
Oman,2020-02-24,0
Oman,2020-02-25,0
Oman,2020-02-26,0
Oman,2020-02-27,0
Oman,2020-02-28,0
Oman,2020-02-29,1
Oman,2020-03-01,1
Oman,2020-03-02,1
Oman,2020-03-03,2
Oman,2020-03-04,2
Oman,2020-03-05,2
Oman,2020-03-06,2
Oman,2020-03-07,2
Oman,2020-03-08,2
Oman,2020-03-09,2
Oman,2020-03-10,9
Oman,2020-03-11,9
Oman,2020-03-12,9
Oman,2020-03-13,9
Oman,2020-03-14,9
Oman,2020-03-15,9
Oman,2020-03-16,9
Oman,2020-03-17,9
Oman,2020-03-18,12
Oman,2020-03-19,12
Oman,2020-03-20,12
