Country/Region,Date,all_cases
Russia,2020-01-22,0
Russia,2020-01-23,0
Russia,2020-01-24,0
Russia,2020-01-25,0
Russia,2020-01-26,0
Russia,2020-01-27,0
Russia,2020-01-28,0
Russia,2020-01-29,0
Russia,2020-01-30,0
Russia,2020-01-31,0
Russia,2020-02-01,0
Russia,2020-02-02,0
Russia,2020-02-03,0
Russia,2020-02-04,0
Russia,2020-02-05,0
Russia,2020-02-06,0
Russia,2020-02-07,0
Russia,2020-02-08,0
Russia,2020-02-09,0
Russia,2020-02-10,0
Russia,2020-02-11,0
Russia,2020-02-12,2
Russia,2020-02-13,2
Russia,2020-02-14,2
Russia,2020-02-15,2
Russia,2020-02-16,2
Russia,2020-02-17,2
Russia,2020-02-18,2
Russia,2020-02-19,2
Russia,2020-02-20,2
Russia,2020-02-21,2
Russia,2020-02-22,2
Russia,2020-02-23,2
Russia,2020-02-24,2
Russia,2020-02-25,2
Russia,2020-02-26,2
Russia,2020-02-27,2
Russia,2020-02-28,2
Russia,2020-02-29,2
Russia,2020-03-01,2
Russia,2020-03-02,2
Russia,2020-03-03,2
Russia,2020-03-04,2
Russia,2020-03-05,2
Russia,2020-03-06,2
Russia,2020-03-07,2
Russia,2020-03-08,3
Russia,2020-03-09,3
Russia,2020-03-10,3
Russia,2020-03-11,3
Russia,2020-03-12,3
Russia,2020-03-13,3
Russia,2020-03-14,8
Russia,2020-03-15,8
Russia,2020-03-16,8
Russia,2020-03-17,8
Russia,2020-03-18,8
Russia,2020-03-19,9
Russia,2020-03-20,9
