Country/Region,Date,all_cases
Taiwan*,2020-01-22,0
Taiwan*,2020-01-23,0
Taiwan*,2020-01-24,0
Taiwan*,2020-01-25,0
Taiwan*,2020-01-26,0
Taiwan*,2020-01-27,0
Taiwan*,2020-01-28,0
Taiwan*,2020-01-29,0
Taiwan*,2020-01-30,0
Taiwan*,2020-01-31,0
Taiwan*,2020-02-01,0
Taiwan*,2020-02-02,0
Taiwan*,2020-02-03,0
Taiwan*,2020-02-04,0
Taiwan*,2020-02-05,0
Taiwan*,2020-02-06,1
Taiwan*,2020-02-07,1
Taiwan*,2020-02-08,1
Taiwan*,2020-02-09,1
Taiwan*,2020-02-10,1
Taiwan*,2020-02-11,1
Taiwan*,2020-02-12,1
Taiwan*,2020-02-13,1
Taiwan*,2020-02-14,2
Taiwan*,2020-02-15,2
Taiwan*,2020-02-16,2
Taiwan*,2020-02-17,2
Taiwan*,2020-02-18,2
Taiwan*,2020-02-19,2
Taiwan*,2020-02-20,2
Taiwan*,2020-02-21,2
Taiwan*,2020-02-22,2
Taiwan*,2020-02-23,2
Taiwan*,2020-02-24,5
Taiwan*,2020-02-25,5
Taiwan*,2020-02-26,5
Taiwan*,2020-02-27,5
Taiwan*,2020-02-28,6
Taiwan*,2020-02-29,9
Taiwan*,2020-03-01,9
Taiwan*,2020-03-02,12
Taiwan*,2020-03-03,12
Taiwan*,2020-03-04,12
Taiwan*,2020-03-05,12
Taiwan*,2020-03-06,12
Taiwan*,2020-03-07,12
Taiwan*,2020-03-08,13
Taiwan*,2020-03-09,15
Taiwan*,2020-03-10,17
Taiwan*,2020-03-11,17
Taiwan*,2020-03-12,20
Taiwan*,2020-03-13,20
Taiwan*,2020-03-14,20
Taiwan*,2020-03-15,20
Taiwan*,2020-03-16,20
Taiwan*,2020-03-17,22
