Country/Region,Date,all_cases
Thailand,2020-01-22,0
Thailand,2020-01-23,0
Thailand,2020-01-24,0
Thailand,2020-01-25,0
Thailand,2020-01-26,2
Thailand,2020-01-27,2
Thailand,2020-01-28,5
Thailand,2020-01-29,5
Thailand,2020-01-30,5
Thailand,2020-01-31,5
Thailand,2020-02-01,5
Thailand,2020-02-02,5
Thailand,2020-02-03,5
Thailand,2020-02-04,5
Thailand,2020-02-05,5
Thailand,2020-02-06,5
Thailand,2020-02-07,5
Thailand,2020-02-08,10
Thailand,2020-02-09,10
Thailand,2020-02-10,10
Thailand,2020-02-11,10
Thailand,2020-02-12,10
Thailand,2020-02-13,12
Thailand,2020-02-14,12
Thailand,2020-02-15,12
Thailand,2020-02-16,14
Thailand,2020-02-17,15
Thailand,2020-02-18,15
Thailand,2020-02-19,15
Thailand,2020-02-20,15
Thailand,2020-02-21,17
Thailand,2020-02-22,17
Thailand,2020-02-23,21
Thailand,2020-02-24,21
Thailand,2020-02-25,22
Thailand,2020-02-26,22
Thailand,2020-02-27,22
Thailand,2020-02-28,28
Thailand,2020-02-29,28
Thailand,2020-03-01,28
Thailand,2020-03-02,31
Thailand,2020-03-03,31
Thailand,2020-03-04,31
Thailand,2020-03-05,31
Thailand,2020-03-06,31
Thailand,2020-03-07,31
Thailand,2020-03-08,31
Thailand,2020-03-09,31
Thailand,2020-03-10,33
Thailand,2020-03-11,34
Thailand,2020-03-12,34
Thailand,2020-03-13,35
Thailand,2020-03-14,35
Thailand,2020-03-15,35
Thailand,2020-03-16,35
