Country/Region,Date,all_cases
US,2020-01-22,0
US,2020-01-23,0
US,2020-01-24,0
US,2020-01-25,0
US,2020-01-26,0
US,2020-01-27,0
US,2020-01-28,0
US,2020-01-29,0
US,2020-01-30,0
US,2020-01-31,0
US,2020-02-01,0
US,2020-02-02,0
US,2020-02-03,0
US,2020-02-04,0
US,2020-02-05,0
US,2020-02-06,0
US,2020-02-07,0
US,2020-02-08,0
US,2020-02-09,3
US,2020-02-10,3
US,2020-02-11,3
US,2020-02-12,3
US,2020-02-13,3
US,2020-02-14,3
US,2020-02-15,3
US,2020-02-16,3
US,2020-02-17,3
US,2020-02-18,3
US,2020-02-19,3
US,2020-02-20,3
US,2020-02-21,5
US,2020-02-22,5
US,2020-02-23,5
US,2020-02-24,5
US,2020-02-25,6
US,2020-02-26,6
US,2020-02-27,6
US,2020-02-28,7
US,2020-02-29,7
US,2020-03-01,7
US,2020-03-02,7
US,2020-03-03,7
US,2020-03-04,7
US,2020-03-05,7
US,2020-03-06,7
US,2020-03-07,7
US,2020-03-08,7
US,2020-03-09,7
US,2020-03-10,8
US,2020-03-11,8
US,2020-03-12,12
US,2020-03-13,12
US,2020-03-14,12
US,2020-03-15,12
US,2020-03-16,17
US,2020-03-17,17
US,2020-03-18,0
US,2020-03-19,0
US,2020-03-20,0
US,2020-03-21,0
